,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,837403,康农种业,24.4,28.08,5.35,,,0.0,,,,19.05,0.0,136.13,4.18
1,2,300189,神农种业,4.5,13.92,0.55,,,0.0,,,,3.95,0.0,-158.85,6.15
2,3,600313,农发种业,8.2,10.07,0.75,,,0.0,,,,7.45,0.0,120.2,4.62
3,4,603336,宏辉果蔬,6.02,10.05,0.55,,,0.0,,,,5.47,0.0,132.64,3.03
4,5,600811,东方集团,3.4,10.03,0.31,,,0.0,,,,3.09,0.0,71.09,0.74
5,6,002086,东方海洋,3.0,9.89,0.27,,,0.0,,,,2.73,0.0,-63.32,3.8
6,7,600354,敦煌种业,6.92,9.84,0.62,,,0.0,,,,6.3,0.0,152.31,5.92
7,8,002041,登海种业,12.24,8.9,1.0,,,0.0,,,,11.24,0.0,137.9,2.99
8,9,831087,秋乐种业,16.83,5.52,0.88,,,0.0,,,,15.95,0.0,226.28,5.35
9,10,603363,*ST傲农,4.23,4.96,0.2,,,0.0,,,,4.03,0.0,-3.37,-2.02
10,11,002124,ST天邦,3.64,4.9,0.17,,,0.0,,,,3.47,0.0,4.52,2.27
11,12,871970,大禹生物,7.8,2.77,0.21,,,0.0,,,,7.59,0.0,-40.42,2.88
12,13,000998,隆平高科,12.19,2.44,0.29,,,0.0,,,,11.9,0.0,-25.33,3.54
13,14,600097,开创国际,9.6,2.02,0.19,,,0.0,,,,9.41,0.0,105.91,1.05
14,15,600540,新赛股份,4.34,1.88,0.08,,,0.0,,,,4.26,0.0,-31.99,3.76
15,16,600975,新五丰,6.85,1.78,0.12,,,0.0,,,,6.73,0.0,5272.84,2.89
16,17,600257,大湖股份,5.47,1.67,0.09,,,0.0,,,,5.38,0.0,-92.16,3.08
17,18,600359,新农开发,7.3,1.67,0.12,,,0.0,,,,7.18,0.0,50.14,4.07
18,19,601952,苏垦农发,10.8,1.5,0.16,,,0.0,,,,10.64,0.0,24.46,2.26
19,20,600127,金健米业,7.58,1.07,0.08,,,0.0,,,,7.5,0.0,5620.15,7.01
20,21,600108,亚盛集团,3.0,1.01,0.03,,,0.0,,,,2.97,0.0,120.27,1.38
21,22,600598,北大荒,16.4,0.86,0.14,,,0.0,,,,16.26,0.0,16.23,3.61
22,23,002772,众兴菌业,7.16,0.85,0.06,,,0.0,,,,7.1,0.0,23.82,0.83
23,24,002385,大北农,4.95,0.81,0.04,,,0.0,,,,4.91,0.0,120.27,2.51
24,25,600965,福成股份,4.15,0.73,0.03,,,0.0,,,,4.12,0.0,88.06,1.6
25,26,001366,播恩集团,11.44,0.7,0.08,,,0.0,,,,11.36,0.0,-94.78,2.22
26,27,001313,粤海饲料,7.2,0.7,0.05,,,0.0,,,,7.15,0.0,-56.08,1.94
27,28,600371,万向德农,10.5,0.67,0.07,,,0.0,,,,10.43,0.0,44.51,5.36
28,29,000713,丰乐种业,8.36,0.36,0.03,,,0.0,,,,8.33,0.0,-54.18,2.75
29,30,000930,中粮科技,6.08,0.33,0.02,,,0.0,,,,6.06,0.0,882.91,1.08
30,31,002100,天康生物,6.96,0.29,0.02,,,0.0,,,,6.94,0.0,12.6,1.37
31,32,600251,冠农股份,7.65,0.26,0.02,,,0.0,,,,7.63,0.0,13.43,1.6
32,33,300021,大禹节水,4.27,0.23,0.01,,,0.0,,,,4.26,0.0,91.54,1.96
33,34,300967,晓鸣股份,13.41,0.15,0.02,,,0.0,,,,13.39,0.0,-223.21,3.94
34,35,002234,民和股份,8.77,0.11,0.01,,,0.0,,,,8.76,0.0,-10.57,1.48
35,36,605296,神农集团,30.72,0.07,0.02,,,0.0,,,,30.7,0.0,25.18,3.43
36,37,001201,东瑞股份,16.44,0.06,0.01,,,0.0,,,,16.43,0.0,-41.29,1.26
37,38,002982,湘佳股份,18.53,0.05,0.01,,,0.0,,,,18.52,0.0,22.28,1.66
38,39,688156,路德环境,,,,,,,,,,13.36,0.0,-293.02,1.51
39,40,603182,嘉华股份,12.0,0.0,0.0,,,0.0,,,,12.0,0.0,19.37,1.9
40,41,603151,邦基科技,,,,,,,,,,10.9,0.0,32.17,1.48
41,42,600883,博闻科技,7.19,0.0,0.0,,,0.0,,,,7.19,0.0,21.79,1.77
42,43,600467,好当家,2.36,0.0,0.0,,,0.0,,,,2.36,0.0,87.58,1.02
43,44,600191,华资实业,6.27,0.0,0.0,,,0.0,,,,6.27,0.0,52.54,1.85
44,45,301156,美农生物,14.25,0.0,0.0,,,0.0,,,,14.25,0.0,49.09,2.8
45,46,300511,雪榕生物,4.53,0.0,0.0,,,0.0,,,,4.53,0.0,-10.35,1.71
46,47,300498,温氏股份,18.98,0.0,0.0,,,0.0,,,,18.98,0.0,14.78,3.28
47,48,200992,中  鲁Ｂ,,,,,,,,,,2.37,0.0,154.47,0.55
48,49,200505,京粮B,2.37,0.0,0.0,,,0.0,,,,2.37,0.0,41.83,0.49
49,50,002567,唐人神,5.56,0.0,0.0,,,0.0,,,,5.56,0.0,23.55,1.36
50,51,002548,金新农,4.38,0.0,0.0,,,0.0,,,,4.38,0.0,94.89,2.33
51,52,002321,华英农业,2.36,0.0,0.0,,,0.0,,,,2.36,0.0,115.1,5.23
52,53,002299,圣农发展,15.2,0.0,0.0,,,0.0,,,,15.2,0.0,37.04,1.83
53,54,002157,正邦科技,3.29,0.0,0.0,,,0.0,,,,3.29,0.0,76.31,2.63
54,55,002069,獐子岛,3.27,0.0,0.0,,,0.0,,,,3.27,0.0,-70.46,47.92
55,56,001338,永顺泰,10.42,0.0,0.0,,,0.0,,,,10.42,0.0,17.84,1.48
56,57,000876,新 希 望,10.15,0.0,0.0,,,0.0,,,,10.15,0.0,225.79,2.16
57,58,000798,中水渔业,7.57,0.0,0.0,,,0.0,,,,7.57,0.0,128.38,5.65
58,59,000592,平潭发展,2.38,0.0,0.0,,,0.0,,,,2.38,0.0,152.8,2.27
59,60,000505,京粮控股,6.86,0.0,0.0,,,0.0,,,,6.86,0.0,134.28,1.59
60,61,603477,巨星农牧,20.75,-0.05,-0.01,,,0.0,,,,20.76,0.0,30.59,3.43
61,62,300087,荃银高科,13.79,-0.07,-0.01,,,0.0,,,,13.8,0.0,-116.18,7.43
62,63,002714,牧原股份,44.5,-0.11,-0.05,,,0.0,,,,44.55,0.0,17.4,3.41
63,64,300313,ST天山,6.79,-0.15,-0.01,,,0.0,,,,6.8,0.0,-38.29,103.47
64,65,603717,天域生物,6.37,-0.16,-0.01,,,0.0,,,,6.38,0.0,217.01,2.85
65,66,002679,福建金森,9.35,-0.21,-0.02,,,0.0,,,,9.37,0.0,-59.59,3.03
66,67,002458,益生股份,9.26,-0.22,-0.02,,,0.0,,,,9.28,0.0,25.57,2.3
