,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,833533,骏创科技,42.25,30.0,9.75,,,0.0,,,,32.5,0.0,70.74,12.34
1,2,870436,大地电气,18.8,22.0,3.39,,,0.0,,,,15.41,0.0,-59.96,4.17
2,3,300707,威唐工业,19.37,20.01,3.23,,,0.0,,,,16.14,0.0,86.42,3.05
3,4,831278,泰德股份,12.0,12.04,1.29,,,0.0,,,,10.71,0.0,61.38,5.15
4,5,000981,山子高科,1.82,10.3,0.17,,,0.0,,,,1.65,0.0,-16.71,8.63
5,6,002547,春兴精工,4.35,10.13,0.4,,,0.0,,,,3.95,0.0,-20.82,74.01
6,7,002510,天汽模,6.13,10.05,0.56,,,0.0,,,,5.57,0.0,47.91,2.73
7,8,603922,金鸿顺,28.51,9.99,2.59,,,0.0,,,,25.92,0.0,-246.12,5.04
8,9,600676,交运股份,5.18,9.98,0.47,,,0.0,,,,4.71,0.0,-17.76,1.0
9,10,603190,亚通精工,24.8,9.98,2.25,,,0.0,,,,22.55,0.0,26.72,1.42
10,11,002101,广东鸿图,15.0,9.89,1.35,,,0.0,,,,13.65,0.0,28.0,1.3
11,12,873690,捷众科技,25.1,8.94,2.06,,,0.0,,,,23.04,0.0,28.14,3.1
12,13,000700,模塑科技,7.8,8.03,0.58,,,0.0,,,,7.22,0.0,9.96,1.92
13,14,832978,开特股份,18.85,6.86,1.21,,,0.0,,,,17.64,0.0,26.69,5.35
14,15,002976,瑞玛精密,24.5,6.24,1.44,,,0.0,,,,23.06,0.0,-394.6,3.67
15,16,000887,中鼎股份,14.13,5.68,0.76,,,0.0,,,,13.37,0.0,13.26,1.45
16,17,836270,天铭科技,17.9,5.54,0.94,,,0.0,,,,16.96,0.0,29.26,4.56
17,18,300694,蠡湖股份,11.0,5.16,0.54,,,0.0,,,,10.46,0.0,41.99,1.73
18,19,301133,金钟股份,25.5,4.98,1.21,,,0.0,,,,24.29,0.0,30.76,2.77
