,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,000099,中信海直,33.03,9.99,3.0,,,0.0,,,,30.03,0.0,98.61,4.9
1,2,600221,海航控股,2.22,9.9,0.2,,,0.0,,,,2.02,0.0,33.11,22.02
2,3,900945,海控B股,0.318,1.92,0.006,,,0.0,,,,0.312,0.0,33.24,22.1
3,4,600029,南方航空,6.23,0.16,0.01,,,0.0,,,,6.22,0.0,43.09,2.92
4,5,603885,吉祥航空,13.12,0.0,0.0,,,0.0,,,,13.12,0.0,17.03,3.11
5,6,601111,中国国航,7.58,0.0,0.0,,,0.0,,,,7.58,0.0,69.28,3.1
6,7,601021,春秋航空,57.03,0.0,0.0,,,0.0,,,,57.03,0.0,16.07,3.15
7,8,000089,深圳机场,7.21,-0.28,-0.02,,,0.0,,,,7.23,0.0,33.93,1.32
8,9,600004,白云机场,9.8,-0.31,-0.03,,,0.0,,,,9.83,0.0,26.04,1.28
9,10,002928,华夏航空,8.5,-0.47,-0.04,,,0.0,,,,8.54,0.0,26.58,3.2
10,11,600009,上海机场,35.51,-0.59,-0.21,,,0.0,,,,35.72,0.0,55.15,2.17
11,12,600897,厦门空港,14.37,-0.76,-0.11,,,0.0,,,,14.48,0.0,12.11,1.36
12,13,600115,中国东航,3.91,-0.76,-0.03,,,0.0,,,,3.94,0.0,-473.69,4.41
13,14,600515,海南机场,3.92,-1.51,-0.06,,,0.0,,,,3.98,0.0,157.81,1.91
