,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,002828,贝肯能源,10.88,10.01,0.99,,,0.0,,,,9.89,0.0,67.39,3.65
1,2,300164,通源石油,5.16,4.03,0.2,,,0.0,,,,4.96,0.0,47.52,2.23
2,3,920019,铜冠矿建,27.48,3.74,0.99,,,0.0,,,,26.49,0.0,76.81,6.44
3,4,920088,科力股份,32.11,2.59,0.81,,,0.0,,,,31.3,0.0,60.3,4.49
4,5,300157,新锦动力,3.45,1.47,0.05,,,0.0,,,,3.4,0.0,-17.2,-10.95
5,6,002554,惠博普,2.85,1.42,0.04,,,0.0,,,,2.81,0.0,-37.54,1.59
6,7,603727,博迈科,12.37,0.98,0.12,,,0.0,,,,12.25,0.0,27.65,1.08
7,8,300084,海默科技,6.5,0.31,0.02,,,0.0,,,,6.48,0.0,-35.59,2.48
8,9,002683,广东宏大,28.01,0.04,0.01,,,0.0,,,,28.0,0.0,24.57,3.36
9,10,600871,石化油服,2.24,0.0,0.0,,,0.0,,,,2.24,0.0,47.15,4.71
10,11,002629,仁智股份,3.32,0.0,0.0,,,0.0,,,,3.32,0.0,-105.51,46.6
11,12,300191,潜能恒信,15.75,-0.06,-0.01,,,0.0,,,,15.76,0.0,-90.34,4.63
12,13,603619,中曼石油,22.23,-0.09,-0.02,,,0.0,,,,22.25,0.0,11.53,2.66
13,14,601808,中海油服,16.13,-0.31,-0.05,,,0.0,,,,16.18,0.0,23.61,1.78
14,15,600968,海油发展,4.39,-0.45,-0.02,,,0.0,,,,4.41,0.0,12.45,1.71
15,16,600339,中油工程,3.7,-0.54,-0.02,,,0.0,,,,3.72,0.0,24.5,0.78
16,17,600583,海油工程,5.66,-0.7,-0.04,,,0.0,,,,5.7,0.0,10.76,0.97
17,18,605086,龙高股份,28.7,-0.83,-0.24,,,0.0,,,,28.94,0.0,40.06,4.22
18,19,603979,金诚信,42.64,-0.93,-0.4,,,0.0,,,,43.04,0.0,18.25,3.2
19,20,603505,金石资源,28.61,-0.93,-0.27,,,0.0,,,,28.88,0.0,51.83,10.46
20,21,002207,准油股份,6.0,-1.8,-0.11,,,0.0,,,,6.11,0.0,-77.96,23.16
