,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,831961,创远信科,24.74,24.01,4.79,115002,267293189.57,26.82,25.88,20.53,21.2,19.95,10.91,1382.89,4.69
1,2,301517,陕西华达,69.48,10.94,6.85,42564,286393168.39,10.41,71.0,64.48,65.5,62.63,10.02,164.99,5.57
2,3,002792,通宇通讯,15.2,9.99,1.38,173902,256585517.5,8.32,15.2,14.05,14.12,13.82,5.54,115.68,2.86
3,4,301050,雷电微力,63.8,9.43,5.5,90933,558869126.4,9.4,63.88,58.4,58.4,58.3,4.38,31.34,5.37
4,5,300342,天银机电,21.72,8.87,1.77,347912,743679691.4,14.14,22.78,19.96,19.96,19.95,8.33,125.25,6.01
5,6,002446,盛路通信,7.9,7.48,0.55,300449,229617992.72,7.35,7.94,7.4,7.46,7.35,3.54,81.6,2.2
6,7,002465,海格通信,12.98,7.45,0.9,401635,508611521.31,7.86,13.11,12.16,12.16,12.08,1.65,130.65,2.54
7,8,300136,信维通信,29.04,5.99,1.64,447703,1275587482.43,6.5,29.29,27.51,28.2,27.4,5.43,39.52,3.91
8,9,688387,信科移动-U,6.99,5.59,0.37,262480,180000160.0,5.59,7.05,6.68,6.71,6.62,1.9,-105.54,3.75
9,10,300252,金信诺,10.37,5.17,0.51,248669,254343311.7,6.49,10.54,9.9,9.98,9.86,4.63,924.05,3.19
10,11,002115,三维通信,5.87,5.01,0.28,225552,130073941.51,4.65,5.88,5.62,5.67,5.59,3.0,-144.99,2.04
11,12,300322,硕贝德,18.18,4.72,0.82,231885,417841376.65,4.32,18.42,17.67,17.77,17.36,5.21,1741.62,8.17
12,13,300964,本川智能,44.67,4.42,1.89,27766,122075247.8,5.56,44.99,42.61,43.28,42.78,5.14,122.32,3.47
13,14,300123,亚光科技,7.71,4.19,0.31,302714,230945579.14,4.86,7.81,7.45,7.5,7.4,3.03,-71.96,3.28
14,15,603803,瑞斯康达,8.43,3.82,0.31,131916,107702728.0,7.14,8.43,7.85,8.09,8.12,3.1,-41.73,2.15
15,16,000063,中兴通讯,32.88,3.23,1.03,553459,1800921780.99,2.42,32.98,32.21,32.35,31.85,1.37,14.92,2.17
16,17,002093,国脉科技,8.32,2.34,0.19,86106,70844255.0,2.21,8.33,8.15,8.15,8.13,0.86,42.45,2.31
17,18,002897,意华股份,48.18,2.14,1.01,38122,183024943.29,2.29,48.61,47.53,47.53,47.17,2.12,30.26,3.68
18,19,603220,中贝通信,24.97,1.67,0.41,162317,396124814.0,4.15,25.07,24.05,24.06,24.56,3.74,56.25,5.56
19,20,002243,力合科创,9.41,1.62,0.15,121042,113636891.0,2.05,9.48,9.29,9.34,9.26,1.01,63.08,1.59
20,21,688112,鼎阳科技,32.74,1.55,0.5,4054,13268667.0,0.99,32.9,32.58,32.6,32.24,0.88,42.65,3.44
21,22,600522,中天科技,17.53,1.27,0.22,181143,316784230.0,2.02,17.65,17.3,17.64,17.31,0.53,19.42,1.72
22,23,601208,东材科技,8.84,1.03,0.09,70327,62252193.0,2.06,8.96,8.78,8.84,8.75,0.78,25.17,1.81
23,24,600288,大恒科技,9.13,0.88,0.08,39566,36263492.0,2.43,9.3,9.08,9.3,9.05,0.91,-466.33,2.14
24,25,300256,星星科技,5.3,-0.38,-0.02,510542,272262078.47,4.7,5.47,5.22,5.34,5.32,3.11,-70.64,9.99
25,26,600487,亨通光电,18.77,-0.69,-0.13,120007,225243909.0,2.33,19.09,18.65,19.0,18.9,0.49,15.0,1.64
26,27,002583,海能达,20.42,-2.34,-0.49,877816,1789152752.24,4.88,20.88,19.86,20.55,20.91,6.84,110.74,6.09
