,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,301517,陕西华达,69.48,10.94,6.85,42564,286393168.39,10.41,71.0,64.48,65.5,62.63,10.02,164.99,5.57
1,2,601698,中国卫通,22.44,10.0,2.04,735880,1552912794.0,14.41,22.44,19.5,20.4,20.4,1.74,147.85,6.05
2,3,603131,上海沪工,20.5,9.98,1.86,175008,348548539.0,9.55,20.5,18.72,18.73,18.64,5.5,104.04,5.26
3,4,301050,雷电微力,63.8,9.43,5.5,90933,558869126.4,9.4,63.88,58.4,58.4,58.3,4.38,31.34,5.37
4,5,300342,天银机电,21.72,8.87,1.77,347912,743679691.4,14.14,22.78,19.96,19.96,19.95,8.33,125.25,6.01
5,6,001270,铖昌科技,52.88,8.14,3.98,44649,229341249.09,9.0,53.3,48.9,48.9,48.9,4.4,-260.7,8.05
6,7,688418,震有科技,33.7,7.56,2.37,44969,148641411.0,11.33,34.25,30.7,31.09,31.33,2.32,294.68,7.72
7,8,002446,盛路通信,7.9,7.48,0.55,300449,229617992.72,7.35,7.94,7.4,7.46,7.35,3.54,81.6,2.2
8,9,002465,海格通信,12.98,7.45,0.9,401635,508611521.31,7.86,13.11,12.16,12.16,12.08,1.65,130.65,2.54
9,10,300101,振芯科技,22.45,7.11,1.49,161655,352243555.21,6.97,22.46,21.0,21.02,20.96,2.87,134.0,7.27
10,11,600118,中国卫星,31.06,6.92,2.01,298816,906196983.0,10.46,31.64,28.6,29.08,29.05,2.53,-1868.72,5.84
11,12,688002,睿创微纳,55.65,6.49,3.39,50721,278702627.0,6.3,56.19,52.9,52.9,52.26,1.13,38.72,5.03
12,13,688270,臻镭科技,40.97,6.14,2.37,28092,114223013.0,6.68,41.74,39.16,39.16,38.6,1.95,454.77,4.12
13,14,600246,万通发展,13.26,5.74,0.72,391969,505969853.0,6.3,13.39,12.6,12.78,12.54,1.97,-170.34,4.78
14,15,300053,航宇微,17.98,5.45,0.93,288664,512051573.57,5.92,18.25,17.24,17.44,17.05,4.54,-153.21,6.24
15,16,300045,华力创通,28.75,5.39,1.47,280624,798299298.09,5.94,29.0,27.38,27.38,27.28,5.78,-496.24,11.14
16,17,300252,金信诺,10.37,5.17,0.51,248669,254343311.7,6.49,10.54,9.9,9.98,9.86,4.63,924.05,3.19
17,18,002115,三维通信,5.87,5.01,0.28,225552,130073941.51,4.65,5.88,5.62,5.67,5.59,3.0,-144.99,2.04
18,19,300455,航天智装,16.2,4.85,0.75,107951,173158764.92,6.67,16.48,15.45,15.56,15.45,1.52,316.12,6.42
19,20,688523,航天环宇,22.29,4.65,0.99,16566,36607716.0,5.07,22.55,21.47,21.47,21.3,1.94,132.87,5.73
20,21,002544,普天科技,24.77,4.38,1.04,88580,216835741.0,5.94,25.06,23.65,23.93,23.73,1.3,692.72,4.52
21,22,300123,亚光科技,7.71,4.19,0.31,302714,230945579.14,4.86,7.81,7.45,7.5,7.4,3.03,-71.96,3.28
22,23,300366,创意信息,12.6,4.13,0.5,202050,247982175.0,5.7,12.65,11.96,12.19,12.1,3.81,-29.65,4.41
23,24,002413,雷科防务,5.25,3.14,0.16,270026,139850845.6,3.73,5.27,5.08,5.09,5.09,2.16,-38.57,1.88
24,25,300098,高新兴,6.86,2.85,0.19,773380,526573712.05,3.45,6.93,6.7,6.77,6.67,5.02,-194.39,4.21
25,26,300447,全信股份,15.06,2.73,0.4,31100,46609135.0,3.0,15.13,14.69,14.69,14.66,1.54,60.1,2.32
26,27,600879,航天电子,10.33,2.38,0.24,395414,405877436.0,2.97,10.4,10.1,10.18,10.09,1.22,45.5,1.65
27,28,000818,航锦科技,20.15,2.34,0.46,95805,193495467.0,3.4,20.53,19.86,20.09,19.69,1.41,251.9,4.06
28,29,300903,科翔股份,9.26,2.32,0.21,74316,68060336.76,2.32,9.28,9.07,9.12,9.05,2.25,-16.46,1.9
29,30,002023,海特高新,12.23,2.17,0.26,92955,113101571.68,2.67,12.32,12.0,12.0,11.97,1.25,109.79,2.12
30,31,688592,司南导航,42.25,2.05,0.85,3599,15249670.0,3.7,42.9,41.37,41.37,41.4,1.29,-250.09,2.66
31,32,603000,人民网,24.0,2.04,0.48,119278,284387172.0,2.47,24.14,23.56,23.62,23.52,1.08,354.39,7.38
32,33,002402,和而泰,12.85,1.98,0.25,77474,99022238.3,1.75,12.9,12.68,12.68,12.6,0.97,25.1,2.55
33,34,002829,星网宇达,21.13,1.98,0.41,62172,130727420.0,3.19,21.36,20.7,20.71,20.72,4.34,-137.31,2.31
34,35,000547,航天发展,9.12,1.9,0.17,183703,166976295.72,2.35,9.18,8.97,8.99,8.95,1.16,-19.6,2.31
35,36,002512,达华智能,5.33,1.72,0.09,211274,112016854.18,2.67,5.37,5.23,5.29,5.24,2.02,1489.82,13.13
36,37,002669,康达新材,9.73,-0.92,-0.09,29581,28916599.26,2.34,9.92,9.69,9.88,9.82,0.98,-28.95,1.02
37,38,002583,海能达,20.42,-2.34,-0.49,877816,1789152752.24,4.88,20.88,19.86,20.55,20.91,6.84,110.74,6.09
38,39,603679,华体科技,18.62,-4.41,-0.86,81320,153125078.0,5.9,19.6,18.45,18.67,19.48,4.98,-73.05,3.69
