,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,837046,亿能电力,21.47,29.96,4.95,,,0.0,,,,16.52,0.0,124.77,8.89
1,2,836826,盖世食品,19.96,29.61,4.56,,,0.0,,,,15.4,0.0,67.37,8.4
2,3,832171,志晟信息,33.35,21.1,5.81,,,0.0,,,,27.54,0.0,-70.05,13.12
3,4,300242,佳云科技,5.75,20.04,0.96,,,0.0,,,,4.79,0.0,-66.13,10.06
4,5,300380,安硕信息,63.34,20.01,10.56,,,0.0,,,,52.78,0.0,1310.77,23.63
5,6,300916,朗特智能,40.49,20.01,6.75,,,0.0,,,,33.74,0.0,42.19,4.55
6,7,688656,浩欧博,114.84,20.0,19.14,,,0.0,,,,95.7,0.0,204.47,8.98
7,8,300465,高伟达,19.8,20.0,3.3,,,0.0,,,,16.5,0.0,275.96,13.4
8,9,300094,国联水产,5.88,20.0,0.98,,,0.0,,,,4.9,0.0,-62.53,2.66
9,10,300198,纳川股份,3.78,19.62,0.62,,,0.0,,,,3.16,0.0,-37.2,5.76
10,11,300091,金通灵,3.86,19.14,0.62,,,0.0,,,,3.24,0.0,-30.71,3.1
11,12,300377,赢时胜,37.47,18.69,5.9,,,0.0,,,,31.57,0.0,-1517.93,9.49
12,13,837592,华信永道,105.0,17.91,15.95,,,0.0,,,,89.05,0.0,-167.09,18.75
13,14,833873,中设咨询,10.28,16.16,1.43,,,0.0,,,,8.85,0.0,-19.18,4.4
14,15,835508,殷图网联,42.48,11.12,4.25,,,0.0,,,,38.23,0.0,-204.2,11.07
15,16,000608,阳光股份,3.03,10.18,0.28,,,0.0,,,,2.75,0.0,-84.77,0.94
16,17,600981,汇鸿集团,3.25,10.17,0.3,,,0.0,,,,2.95,0.0,-65.37,1.54
17,18,000926,福星股份,3.36,10.16,0.31,,,0.0,,,,3.05,0.0,241.38,0.44
18,19,600530,交大昂立,4.13,10.13,0.38,,,0.0,,,,3.75,0.0,356.27,10.61
19,20,000727,冠捷科技,3.48,10.13,0.32,,,0.0,,,,3.16,0.0,147.83,5.52
20,21,002547,春兴精工,4.79,10.11,0.44,,,0.0,,,,4.35,0.0,-22.93,81.5
21,22,000679,大连友谊,4.91,10.09,0.45,,,0.0,,,,4.46,0.0,-31.75,6.02
22,23,000530,冰山冷热,6.33,10.09,0.58,,,0.0,,,,5.75,0.0,42.33,1.71
23,24,600340,华夏幸福,4.04,10.08,0.37,,,0.0,,,,3.67,0.0,-5.29,2.71
24,25,600653,申华控股,2.73,10.08,0.25,,,0.0,,,,2.48,0.0,-70.86,7.31
25,26,002305,南国置业,2.73,10.08,0.25,,,0.0,,,,2.48,0.0,-15.14,18.91
26,27,000716,黑芝麻,7.87,10.07,0.72,,,0.0,,,,7.15,0.0,106.52,2.35
27,28,000605,渤海股份,8.09,10.07,0.74,,,0.0,,,,7.35,0.0,176.95,1.35
28,29,600841,动力新科,6.67,10.07,0.61,,,0.0,,,,6.06,0.0,-5.5,2.17
29,30,002374,中锐股份,3.5,10.06,0.32,,,0.0,,,,3.18,0.0,-34.46,3.42
30,31,002291,遥望科技,7.11,10.06,0.65,,,0.0,,,,6.46,0.0,-12.15,1.63
31,32,000566,海南海药,7.11,10.06,0.65,,,0.0,,,,6.46,0.0,-23.44,5.22
32,33,000838,财信发展,3.61,10.06,0.33,,,0.0,,,,3.28,0.0,-493.78,5.89
33,34,002279,久其软件,7.77,10.06,0.71,,,0.0,,,,7.06,0.0,-22.12,5.03
34,35,603118,共进股份,10.07,10.05,0.92,,,0.0,,,,9.15,0.0,434.08,1.57
35,36,002529,海源复材,10.18,10.05,0.93,,,0.0,,,,9.25,0.0,-47.3,6.48
36,37,000627,天茂集团,4.71,10.05,0.43,,,0.0,,,,4.28,0.0,-52.39,1.07
37,38,002719,麦趣尔,10.08,10.04,0.92,,,0.0,,,,9.16,0.0,-15.14,4.76
38,39,000639,西王食品,5.15,10.04,0.47,,,0.0,,,,4.68,0.0,66.61,1.64
39,40,002146,荣盛发展,2.63,10.04,0.24,,,0.0,,,,2.39,0.0,-6.02,0.51
40,41,600705,中航产融,5.37,10.04,0.49,,,0.0,,,,4.88,0.0,59.3,1.27
41,42,002908,德生科技,10.96,10.04,1.0,,,0.0,,,,9.96,0.0,396.19,4.16
42,43,002765,蓝黛科技,12.39,10.04,1.13,,,0.0,,,,11.26,0.0,58.48,3.26
43,44,002036,联创电子,12.39,10.04,1.13,,,0.0,,,,11.26,0.0,-215.02,4.93
44,45,000518,四环生物,3.4,10.03,0.31,,,0.0,,,,3.09,0.0,-179.61,7.49
45,46,600084,中信尼雅,6.91,10.03,0.63,,,0.0,,,,6.28,0.0,14303.8,6.08
46,47,603196,日播时尚,20.52,10.03,1.87,,,0.0,,,,18.65,0.0,-89.98,6.46
47,48,603006,联明股份,12.84,10.03,1.17,,,0.0,,,,11.67,0.0,51.56,2.29
48,49,002945,华林证券,18.44,10.02,1.68,,,0.0,,,,16.76,0.0,123.6,7.52
49,50,600292,远达环保,13.94,10.02,1.27,,,0.0,,,,12.67,0.0,92.38,2.09
50,51,600626,申达股份,4.83,10.02,0.44,,,0.0,,,,4.39,0.0,-89.89,2.03
51,52,600280,中央商场,4.83,10.02,0.44,,,0.0,,,,4.39,0.0,-159.55,6.7
52,53,601099,太平洋,5.71,10.02,0.52,,,0.0,,,,5.19,0.0,214.22,4.05
53,54,001379,腾达科技,30.2,10.02,2.75,,,0.0,,,,27.45,0.0,78.68,4.16
54,55,000557,西部创业,6.26,10.02,0.57,,,0.0,,,,5.69,0.0,30.55,1.5
55,56,002400,省广集团,8.57,10.01,0.78,,,0.0,,,,7.79,0.0,122.83,3.04
56,57,605136,丽人丽妆,8.9,10.01,0.81,,,0.0,,,,8.09,0.0,-96.17,1.44
57,58,603499,翔港科技,30.33,10.01,2.76,,,0.0,,,,27.57,0.0,147.39,8.3
58,59,002862,实丰文化,21.98,10.01,2.0,,,0.0,,,,19.98,0.0,437.4,6.39
59,60,600206,有研新材,14.62,10.01,1.33,,,0.0,,,,13.29,0.0,81.01,3.19
60,61,600593,大连圣亚,30.23,10.01,2.75,,,0.0,,,,27.48,0.0,27.77,11.91
61,62,605218,伟时电子,31.11,10.01,2.83,,,0.0,,,,28.28,0.0,158.26,5.19
62,63,000799,酒鬼酒,63.98,10.01,5.82,,,0.0,,,,58.16,0.0,276.02,5.18
63,64,603076,乐惠国际,26.72,10.0,2.43,,,0.0,,,,24.29,0.0,59.68,2.43
