,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,836826,盖世食品,19.96,29.61,4.56,,,0.0,,,,15.4,0.0,67.37,8.4
1,2,300094,国联水产,5.88,20.0,0.98,,,0.0,,,,4.9,0.0,-62.53,2.66
2,3,605136,丽人丽妆,8.9,10.01,0.81,,,0.0,,,,8.09,0.0,-96.17,1.44
3,4,600467,好当家,2.86,10.0,0.26,,,0.0,,,,2.6,0.0,106.14,1.23
4,5,002086,东方海洋,3.3,10.0,0.3,,,0.0,,,,3.0,0.0,-69.65,4.18
5,6,605089,味知香,25.65,9.99,2.33,,,0.0,,,,23.32,0.0,39.2,2.95
6,7,000721,西安饮食,11.68,9.98,1.06,,,0.0,,,,10.62,0.0,-56.72,20.13
7,8,600257,大湖股份,6.51,9.97,0.59,,,0.0,,,,5.92,0.0,-109.68,3.67
8,9,603536,惠发食品,12.47,9.96,1.13,,,0.0,,,,11.34,0.0,-81.01,6.97
9,10,002702,海欣食品,5.2,9.94,0.47,,,0.0,,,,4.73,0.0,-90.69,2.66
10,11,000564,供销大集,2.88,9.92,0.26,,,0.0,,,,2.62,0.0,-372.93,3.35
11,12,001215,千味央厨,39.2,9.65,3.45,,,0.0,,,,35.75,0.0,35.78,2.18
12,13,601933,永辉超市,5.6,7.69,0.4,,,0.0,,,,5.2,0.0,-489.5,8.77
13,14,000428,华天酒店,4.02,5.79,0.22,,,0.0,,,,3.8,0.0,-27.53,2.52
14,15,002216,三全食品,13.0,5.52,0.68,,,0.0,,,,12.32,0.0,21.74,2.67
15,16,002124,ST天邦,3.47,3.27,0.11,,,0.0,,,,3.36,0.0,4.31,2.17
16,17,002186,全 聚 德,11.29,2.92,0.32,,,0.0,,,,10.97,0.0,36.89,3.96
17,18,002251,ST步步高,3.66,2.81,0.1,,,0.0,,,,3.56,0.0,3.65,1.15
18,19,430476,海能技术,12.97,2.53,0.32,,,0.0,,,,12.65,0.0,-175.89,2.31
19,20,002515,金字火腿,5.07,2.01,0.1,,,0.0,,,,4.97,0.0,154.22,2.37
20,21,002299,圣农发展,15.98,1.85,0.29,,,0.0,,,,15.69,0.0,38.94,1.92
21,22,002330,得利斯,4.73,1.72,0.08,,,0.0,,,,4.65,0.0,339.96,1.27
22,23,603345,安井食品,98.05,1.6,1.54,,,0.0,,,,96.51,0.0,20.6,2.25
23,24,603057,紫燕食品,18.08,1.46,0.26,,,0.0,,,,17.82,0.0,16.1,3.75
24,25,000524,岭南控股,10.7,1.42,0.15,,,0.0,,,,10.55,0.0,39.77,3.19
25,26,603237,五芳斋,18.5,1.26,0.23,,,0.0,,,,18.27,0.0,13.07,2.04
26,27,000900,现代投资,4.39,0.92,0.04,,,0.0,,,,4.35,0.0,12.3,0.61
27,28,002321,华英农业,2.5,0.81,0.02,,,0.0,,,,2.48,0.0,121.93,5.54
28,29,300999,金龙鱼,38.08,0.79,0.3,,,0.0,,,,37.78,0.0,108.19,2.23
29,30,002701,奥瑞金,5.47,0.55,0.03,,,0.0,,,,5.44,0.0,13.8,1.54
30,31,300501,海顺新材,15.1,0.53,0.08,,,0.0,,,,15.02,0.0,27.49,1.76
31,32,002567,唐人神,5.79,0.52,0.03,,,0.0,,,,5.76,0.0,24.53,1.42
32,33,002726,龙大美食,7.18,0.42,0.03,,,0.0,,,,7.15,0.0,79.56,5.6
33,34,601366,利群股份,5.47,0.37,0.02,,,0.0,,,,5.45,0.0,142.92,1.16
34,35,000895,双汇发展,25.77,0.35,0.09,,,0.0,,,,25.68,0.0,17.6,4.48
35,36,000529,广弘控股,6.1,0.33,0.02,,,0.0,,,,6.08,0.0,31.39,1.14
36,37,002187,广百股份,5.66,0.18,0.01,,,0.0,,,,5.65,0.0,56.89,0.98
37,38,002746,仙坛股份,6.42,0.16,0.01,,,0.0,,,,6.41,0.0,37.01,1.21
38,39,001313,粤海饲料,7.46,0.13,0.01,,,0.0,,,,7.45,0.0,-58.1,2.01
39,40,605108,同庆楼,23.23,0.13,0.03,,,0.0,,,,23.2,0.0,54.32,2.72
40,41,603043,广州酒家,17.29,0.0,0.0,,,0.0,,,,17.29,0.0,16.46,2.57
41,42,601007,金陵饭店,7.38,0.0,0.0,,,0.0,,,,7.38,0.0,51.62,1.82
42,43,600965,福成股份,4.35,0.0,0.0,,,0.0,,,,4.35,0.0,92.3,1.67
43,44,600883,博闻科技,7.41,0.0,0.0,,,0.0,,,,7.41,0.0,22.46,1.83
44,45,002982,湘佳股份,20.37,0.0,0.0,,,0.0,,,,20.37,0.0,24.49,1.82
45,46,002820,桂发祥,8.98,0.0,0.0,,,0.0,,,,8.98,0.0,37.88,1.94
46,47,002696,百洋股份,5.42,0.0,0.0,,,0.0,,,,5.42,0.0,-46.03,1.37
47,48,002069,獐子岛,3.5,0.0,0.0,,,0.0,,,,3.5,0.0,-75.41,51.29
48,49,000019,深粮控股,7.12,0.0,0.0,,,0.0,,,,7.12,0.0,25.17,1.7
49,50,600073,光明肉业,7.29,-0.14,-0.01,,,0.0,,,,7.3,0.0,13.44,1.32
50,51,002100,天康生物,7.16,-0.14,-0.01,,,0.0,,,,7.17,0.0,12.96,1.41
51,52,002481,双塔食品,5.57,-0.18,-0.01,,,0.0,,,,5.58,0.0,81.88,2.62
52,53,002661,克明食品,9.85,-0.71,-0.07,,,0.0,,,,9.92,0.0,16.39,1.35
53,54,605567,春雪食品,9.05,-0.88,-0.08,,,0.0,,,,9.13,0.0,569.3,1.69
54,55,301116,益客食品,13.28,-1.99,-0.27,,,0.0,,,,13.55,0.0,31.71,3.25
