,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,600705,中航产融,5.37,10.04,0.49,,,0.0,,,,4.88,0.0,59.3,1.27
1,2,600318,新力金融,13.37,9.59,1.17,,,0.0,,,,12.2,0.0,153.13,6.38
2,3,000563,陕国投Ａ,5.17,9.07,0.43,,,0.0,,,,4.74,0.0,21.22,1.5
3,4,002961,瑞达期货,18.4,4.49,0.79,,,0.0,,,,17.61,0.0,22.63,3.01
4,5,000987,越秀资本,9.37,3.54,0.32,,,0.0,,,,9.05,0.0,20.51,1.6
5,6,001236,弘业期货,12.76,3.07,0.38,,,0.0,,,,12.38,0.0,587.36,6.92
6,7,600053,九鼎投资,17.8,2.95,0.51,,,0.0,,,,17.29,0.0,826.35,2.67
7,8,600816,建元信托,3.88,2.37,0.09,,,0.0,,,,3.79,0.0,690.26,2.81
8,9,000567,海德股份,9.7,2.32,0.22,,,0.0,,,,9.48,0.0,27.49,3.51
9,10,603123,翠微股份,9.58,2.24,0.21,,,0.0,,,,9.37,0.0,-15.13,3.12
10,11,600643,爱建集团,6.61,1.69,0.11,,,0.0,,,,6.5,0.0,31.86,0.84
11,12,000617,中油资本,9.29,1.53,0.14,,,0.0,,,,9.15,0.0,20.29,1.15
12,13,600120,浙江东方,5.38,1.51,0.08,,,0.0,,,,5.3,0.0,32.95,1.18
13,14,603093,南华期货,13.8,1.4,0.19,,,0.0,,,,13.61,0.0,17.62,2.12
14,15,600517,国网英大,6.3,1.29,0.08,,,0.0,,,,6.22,0.0,18.6,1.69
15,16,600390,五矿资本,8.89,0.91,0.08,,,0.0,,,,8.81,0.0,24.63,0.94
16,17,600927,永安期货,15.3,0.33,0.05,,,0.0,,,,15.25,0.0,39.86,1.77
17,18,600830,香溢融通,12.28,0.24,0.03,,,0.0,,,,12.25,0.0,73.05,2.57
18,19,002647,仁东控股,7.56,0.13,0.01,,,0.0,,,,7.55,0.0,-22.23,77.96
19,20,002423,中粮资本,18.4,0.05,0.01,,,0.0,,,,18.39,0.0,24.89,1.94
20,21,600901,江苏金租,5.51,0.0,0.0,,,0.0,,,,5.51,0.0,10.75,1.36
21,22,000415,渤海租赁,4.24,-3.2,-0.14,,,0.0,,,,4.38,0.0,12.37,0.86
