,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,600084,中信尼雅,6.91,10.03,0.63,,,0.0,,,,6.28,0.0,14303.8,6.08
1,2,000929,兰州黄河,8.78,10.03,0.8,,,0.0,,,,7.98,0.0,-31.62,2.98
2,3,000799,酒鬼酒,63.98,10.01,5.82,,,0.0,,,,58.16,0.0,276.02,5.18
3,4,600779,水井坊,61.14,10.0,5.56,,,0.0,,,,55.58,0.0,19.91,6.01
4,5,000860,顺鑫农业,22.99,10.0,2.09,,,0.0,,,,20.9,0.0,33.48,2.38
5,6,600702,舍得酒业,84.84,8.05,6.32,,,0.0,,,,78.52,0.0,31.69,3.99
6,7,002568,百润股份,29.96,7.42,2.07,,,0.0,,,,27.89,0.0,41.06,7.18
7,8,603589,口子窖,46.69,5.28,2.34,,,0.0,,,,44.35,0.0,16.03,2.76
8,9,000995,皇台酒业,17.08,4.91,0.8,,,0.0,,,,16.28,0.0,100.44,20.85
9,10,600559,老白干酒,25.05,4.03,0.97,,,0.0,,,,24.08,0.0,30.9,4.53
10,11,000568,泸州老窖,159.99,3.96,6.1,,,0.0,,,,153.89,0.0,15.24,5.18
11,12,603779,威龙股份,11.82,3.78,0.43,,,0.0,,,,11.39,0.0,681.83,6.95
12,13,600197,伊力特,19.7,2.18,0.42,,,0.0,,,,19.28,0.0,28.93,2.42
13,14,603919,金徽酒,23.98,1.83,0.43,,,0.0,,,,23.55,0.0,27.39,3.72
14,15,000752,ST西发,7.25,1.68,0.12,,,0.0,,,,7.13,0.0,59.78,14.1
15,16,603369,今世缘,49.95,1.57,0.77,,,0.0,,,,49.18,0.0,15.23,4.14
16,17,000596,古井贡酒,222.2,1.43,3.14,,,0.0,,,,219.06,0.0,18.56,4.92
17,18,600696,岩石股份,17.94,1.41,0.25,,,0.0,,,,17.69,0.0,-59.56,11.33
18,19,200869,张  裕Ｂ,9.23,1.32,0.12,,,0.0,,,,9.11,0.0,19.28,0.54
19,20,600199,金种子酒,16.08,0.88,0.14,,,0.0,,,,15.94,0.0,-79.71,4.38
20,21,200596,古井贡Ｂ,130.0,0.78,1.01,,,0.0,,,,128.99,0.0,9.79,2.59
21,22,600365,ST通葡,2.99,0.67,0.02,,,0.0,,,,2.97,0.0,-30.32,4.2
22,23,600809,山西汾酒,234.57,0.5,1.17,,,0.0,,,,233.4,0.0,18.91,8.45
23,24,000858,五 粮 液,163.0,0.47,0.76,,,0.0,,,,162.24,0.0,19.03,4.64
24,25,600573,惠泉啤酒,10.95,0.46,0.05,,,0.0,,,,10.9,0.0,25.77,2.09
25,26,000869,张  裕Ａ,25.1,0.4,0.1,,,0.0,,,,25.0,0.0,58.15,1.64
26,27,600132,重庆啤酒,66.49,0.38,0.25,,,0.0,,,,66.24,0.0,18.12,15.06
27,28,603198,迎驾贡酒,68.0,0.37,0.25,,,0.0,,,,67.75,0.0,20.34,5.87
28,29,600519,贵州茅台,1655.2,0.37,6.06,,,0.0,,,,1649.14,0.0,25.64,8.75
29,30,002646,天佑德酒,11.42,0.18,0.02,,,0.0,,,,11.4,0.0,71.86,1.94
30,31,601579,会稽山,11.55,0.17,0.02,,,0.0,,,,11.53,0.0,36.88,1.53
31,32,600600,青岛啤酒,75.7,0.16,0.12,,,0.0,,,,75.58,0.0,15.52,3.47
32,33,600059,古越龙山,9.45,0.11,0.01,,,0.0,,,,9.44,0.0,47.98,1.48
33,34,000729,燕京啤酒,10.78,0.09,0.01,,,0.0,,,,10.77,0.0,17.69,2.05
34,35,002304,洋河股份,94.0,0.05,0.05,,,0.0,,,,93.95,0.0,12.38,2.65
35,36,600616,金枫酒业,5.72,0.0,0.0,,,0.0,,,,5.72,0.0,-96.76,1.98
36,37,600543,莫高股份,6.27,0.0,0.0,,,0.0,,,,6.27,0.0,-55.44,2.41
37,38,002461,珠江啤酒,9.44,0.0,0.0,,,0.0,,,,9.44,0.0,19.43,1.99
38,39,600238,海南椰岛,9.59,-0.21,-0.02,,,0.0,,,,9.61,0.0,-318.88,18.33
