,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,688262,国芯科技,33.47,20.01,5.58,,,0.0,,,,27.89,0.0,-66.25,5.0
1,2,688535,华海诚科,89.99,6.23,5.28,,,0.0,,,,84.71,0.0,155.98,7.05
2,3,838971,天马新材,43.67,6.2,2.55,,,0.0,,,,41.12,0.0,137.74,10.58
3,4,603005,晶方科技,29.58,4.01,1.14,,,0.0,,,,28.44,0.0,78.44,4.57
4,5,002409,雅克科技,69.4,3.06,2.06,,,0.0,,,,67.34,0.0,33.08,4.55
5,6,688733,壹石通,20.8,2.36,0.48,,,0.0,,,,20.32,0.0,211.14,1.88
6,7,688035,德邦科技,40.7,2.26,0.9,,,0.0,,,,39.8,0.0,71.83,2.55
7,8,300475,香农芯创,33.9,1.89,0.63,,,0.0,,,,33.27,0.0,31.93,5.25
8,9,688300,联瑞新材,58.49,1.72,0.99,,,0.0,,,,57.5,0.0,44.07,7.54
9,10,002436,兴森科技,12.5,0.4,0.05,,,0.0,,,,12.45,0.0,-501.23,4.17
10,11,002559,亚威股份,9.66,0.21,0.02,,,0.0,,,,9.64,0.0,39.1,2.97
11,12,603002,宏昌电子,5.55,0.0,0.0,,,0.0,,,,5.55,0.0,128.57,1.84
