,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,603139,康惠制药,17.11,10.03,1.56,19757,33194967.0,9.9,17.11,15.57,15.57,15.55,1.98,-33.48,1.88
1,2,300391,长药控股,7.24,6.78,0.46,134036,94496245.0,6.78,7.25,6.79,6.79,6.78,3.83,-10.51,179.25
2,3,002826,易明医药,12.09,5.13,0.59,57697,68190857.0,7.3,12.12,11.28,11.42,11.5,3.28,41.34,3.15
3,4,000989,ST九芝,7.97,5.01,0.38,13457,10725029.75,0.0,7.97,7.97,7.97,7.59,0.19,21.29,1.81
4,5,002750,*ST龙津,3.0,4.9,0.14,45165,13497938.0,1.4,3.0,2.96,2.99,2.86,1.13,-96.58,2.39
5,6,603963,*ST大药,3.74,3.89,0.14,62892,23586592.0,3.61,3.78,3.65,3.69,3.6,2.86,-31.23,2.27
6,7,301111,粤万年青,18.42,3.72,0.66,18893,34397841.4,4.11,18.53,17.8,17.8,17.76,2.69,156.76,3.81
7,8,833266,生物谷,13.04,3.49,0.44,10901,13984612.09,4.13,13.04,12.52,12.52,12.6,1.42,677.3,1.61
8,9,000423,东阿阿胶,61.01,3.41,2.01,25116,151604729.2,3.73,61.18,58.98,59.0,59.0,0.39,25.58,3.96
9,10,000999,华润三九,50.23,3.35,1.63,34492,170629567.5,4.28,50.28,48.2,48.42,48.6,0.27,16.35,3.14
10,11,002728,特一药业,9.75,3.17,0.3,123911,119621772.72,4.87,9.9,9.44,9.45,9.45,3.31,621.4,2.86
11,12,600557,康缘药业,16.4,3.14,0.5,81375,130979189.0,4.21,16.42,15.75,15.75,15.9,1.41,20.04,1.85
12,13,300534,陇神戎发,10.59,3.12,0.32,59590,62104631.0,4.09,10.6,10.18,10.3,10.27,1.97,97.28,4.97
13,14,300878,维康药业,18.76,3.08,0.56,8903,16505245.4,3.74,18.88,18.2,18.2,18.2,1.6,46.2,2.01
14,15,300181,佐力药业,18.34,3.03,0.54,82673,150612292.6,4.49,18.5,17.7,17.7,17.8,1.38,22.89,4.95
15,16,300147,香雪制药,14.3,3.03,0.42,161371,227874318.16,4.25,14.4,13.81,14.0,13.88,2.45,-32.56,5.54
16,17,836433,大唐药业,8.26,2.86,0.23,29045,24005986.55,6.85,8.5,7.95,7.97,8.03,1.72,152.79,4.42
17,18,300519,新光药业,15.78,2.53,0.39,16016,24990399.0,3.25,15.82,15.32,15.4,15.39,1.4,50.12,3.09
18,19,002864,盘龙药业,29.96,2.43,0.71,11890,35339426.97,2.5,30.0,29.27,29.27,29.25,1.61,26.66,1.98
19,20,002603,以岭药业,18.43,2.39,0.43,78688,143905945.72,2.61,18.47,18.0,18.0,18.0,0.57,41.63,2.68
20,21,301331,恩威医药,27.96,2.27,0.62,9640,26439122.19,4.94,28.18,26.83,27.01,27.34,2.91,97.98,2.82
