,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,000516,国际医学,6.56,10.07,0.6,272997,177945925.58,3.52,6.56,6.35,6.35,5.96,1.23,-52.43,4.06
1,2,002219,新里程,3.19,10.0,0.29,698714,218507483.88,5.86,3.19,3.02,3.03,2.9,2.13,154.46,4.7
2,3,301239,普瑞眼科,54.24,7.51,3.79,19009,100092157.7,6.56,54.3,50.99,50.99,50.45,2.69,384.22,3.66
3,4,002622,皓宸医疗,3.28,6.84,0.21,241055,76338747.0,7.17,3.29,3.07,3.12,3.07,2.87,153.1,6.15
4,5,688246,嘉和美康,33.2,5.63,1.77,13173,43040283.0,6.14,33.36,31.43,31.5,31.43,1.31,-83.02,2.56
5,6,301103,何氏眼科,24.66,4.67,1.1,9916,24044103.5,4.92,24.86,23.7,23.88,23.56,1.19,178.48,2.01
6,7,300015,爱尔眼科,17.0,4.55,0.74,582237,967787502.58,4.55,17.0,16.26,16.26,16.26,0.74,34.45,7.77
7,8,603882,金域医学,36.22,4.32,1.5,39725,142647875.0,3.25,36.46,35.33,35.37,34.72,0.85,135.7,2.17
8,9,301235,华康医疗,22.66,4.18,0.91,9261,20614124.0,4.14,22.69,21.79,21.79,21.75,1.82,91.4,1.35
9,10,301126,达嘉维康,12.68,4.02,0.49,30615,38247201.0,5.0,12.8,12.19,12.19,12.19,2.82,53.59,1.48
10,11,300143,盈康生命,11.15,4.01,0.43,85834,96363733.4,2.89,11.39,11.08,11.18,10.72,1.34,75.99,3.51
11,12,301267,华厦眼科,24.81,3.94,0.94,24599,60029205.62,3.64,24.89,24.02,24.2,23.87,0.75,37.14,3.59
12,13,300244,迪安诊断,14.84,3.85,0.55,90768,133421568.98,3.64,14.94,14.42,14.42,14.29,1.81,53.16,1.31
13,14,600763,通策医疗,56.99,3.66,2.01,38782,217924324.0,3.53,57.07,55.13,55.2,54.98,0.87,38.37,6.18
14,15,688202,美迪西,43.19,3.6,1.5,18104,77251058.0,3.45,43.44,42.0,42.59,41.69,1.34,-33.9,2.47
15,16,688076,诺泰生物,58.0,3.09,1.74,20640,117821510.0,2.95,58.0,56.34,56.34,56.26,0.94,27.3,5.01
16,17,688222,成都先导,14.39,2.79,0.39,38713,55313719.0,3.0,14.49,14.07,14.16,14.0,0.97,143.57,4.18
17,18,002821,凯莱英,92.29,2.77,2.49,10247,93233943.36,2.97,92.37,89.7,89.88,89.8,0.31,35.83,2.04
18,19,300759,康龙化成,32.38,2.63,0.83,115677,369689535.7,3.36,32.46,31.4,31.4,31.55,0.81,30.53,4.32
19,20,603259,药明康德,58.8,2.39,1.37,132455,769250732.0,2.99,58.88,57.16,57.52,57.43,0.53,19.5,3.08
20,21,301333,诺思格,71.3,2.21,1.54,2269,15866210.0,3.57,71.49,69.0,69.25,69.76,0.4,61.18,3.82
21,22,300149,睿智医药,7.36,1.94,0.14,49836,36462034.0,2.08,7.38,7.23,7.29,7.22,1.0,-44.74,2.69
22,23,301080,百普赛斯,47.35,1.92,0.89,6112,28703128.0,2.39,47.35,46.24,46.24,46.46,0.67,51.04,2.21
23,24,600721,百花医药,7.93,1.8,0.14,45568,35835384.0,2.05,7.94,7.78,7.79,7.79,1.19,95.13,4.11
24,25,301257,普蕊斯,32.35,1.79,0.57,5840,18732226.8,1.64,32.35,31.83,31.95,31.78,1.24,26.69,2.25
25,26,301096,百诚医药,43.15,1.79,0.76,10626,45484288.3,1.86,43.18,42.39,42.4,42.39,1.53,24.95,1.7
26,27,300404,博济医药,9.85,1.76,0.17,38438,37706206.2,1.65,9.86,9.7,9.7,9.68,1.39,65.26,3.83
27,28,300347,泰格医药,69.71,1.75,1.2,34401,236569329.1,2.58,69.77,68.0,68.58,68.51,0.61,55.59,2.86
28,29,603127,昭衍新药,20.15,1.72,0.34,35519,70733794.0,2.12,20.15,19.73,19.82,19.81,0.56,-161.1,1.89
29,30,603108,润达医疗,21.54,1.6,0.34,164958,359969762.0,6.37,22.55,21.2,21.56,21.2,2.75,191.87,3.02
30,31,200028,一致Ｂ,15.03,1.35,0.2,254,380415.6,1.42,15.04,14.83,14.83,14.83,0.04,5.31,0.42
31,32,301201,诚达药业,23.8,1.32,0.31,7981,18822144.5,1.83,23.85,23.42,23.49,23.49,0.92,68.37,1.65
32,33,002524,光正眼科,4.21,1.2,0.05,24460,10283946.8,1.68,4.24,4.17,4.17,4.16,0.48,-78.67,8.0
33,34,301520,万邦医药,45.67,1.13,0.51,3106,14085371.9,1.64,45.8,45.06,45.06,45.16,1.41,29.35,2.02
34,35,002044,美年健康,5.07,1.0,0.05,99094,50055895.0,1.0,5.08,5.03,5.04,5.02,0.26,604.24,2.59
35,36,688315,诺禾致源,14.42,0.84,0.12,10372,14884750.0,2.03,14.49,14.2,14.38,14.3,0.25,33.48,2.47
36,37,688621,阳光诺和,47.33,0.81,0.38,4244,19931362.0,1.68,47.45,46.66,47.0,46.95,0.38,19.14,4.69
37,38,301033,迈普医学,52.36,0.79,0.41,2065,10795270.08,2.39,52.84,51.6,52.0,51.95,0.37,49.47,5.18
38,39,002172,澳洋健康,3.35,0.6,0.02,51276,17089059.0,1.5,3.36,3.31,3.33,3.33,0.67,49.74,19.35
39,40,600327,大东方,4.12,0.24,0.01,36058,14882868.0,1.7,4.16,4.09,4.09,4.11,0.41,27.11,1.11
40,41,605186,健麾信息,26.24,-0.38,-0.1,7564,19824836.0,1.97,26.52,26.0,26.2,26.34,0.56,83.51,3.33
41,42,688238,和元生物,6.51,-0.91,-0.06,43553,28639082.0,5.18,6.75,6.41,6.75,6.57,0.93,-16.66,2.26
42,43,002173,创新医疗,10.37,-1.24,-0.13,129758,135284963.48,3.62,10.64,10.26,10.64,10.5,3.12,-123.26,2.48
43,44,000504,南华生物,10.47,-1.6,-0.17,21020,21964025.5,2.44,10.62,10.36,10.48,10.64,0.68,-308.12,13.9
44,45,301293,三博脑科,55.61,-2.44,-1.39,34764,194023578.99,2.16,56.6,55.37,56.5,57.0,2.16,82.17,4.98
