,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300937,药易购,32.2,18.21,4.96,62499,193375142.44,19.9,32.69,27.27,27.67,27.24,9.98,165.84,3.64
1,2,603716,塞力医疗,8.45,10.03,0.77,82666,66018231.0,10.68,8.45,7.63,7.65,7.68,4.11,-22.78,1.75
2,3,600829,人民同泰,8.45,10.03,0.77,156580,128521599.0,12.11,8.45,7.52,7.52,7.68,2.7,17.84,1.7
3,4,600998,九州通,5.97,6.8,0.38,271269,157286557.0,6.98,5.99,5.6,5.6,5.59,0.54,13.31,1.22
4,5,600272,开开实业,13.68,6.54,0.84,59369,79335929.0,9.89,14.1,12.83,12.84,12.84,3.71,72.05,5.37
5,6,301408,华人健康,13.88,6.2,0.81,39280,53036718.0,5.97,13.88,13.1,13.19,13.07,2.63,38.58,2.81
6,7,301017,漱玉平民,16.08,5.93,0.9,64699,102705820.0,9.49,16.45,15.01,15.08,15.18,2.66,-370.57,3.13
7,8,002589,瑞康医药,3.57,5.31,0.18,330743,116167849.08,6.19,3.6,3.39,3.39,3.39,2.42,103.82,0.98
8,9,601607,上海医药,21.39,5.21,1.06,162341,342293412.0,5.66,21.48,20.33,20.36,20.33,0.84,14.66,1.12
9,10,603122,合富中国,8.37,4.76,0.38,73491,59992963.0,4.76,8.37,7.99,8.0,7.99,4.1,94.11,2.85
10,11,600511,国药股份,34.83,4.59,1.53,40653,139201435.0,4.44,34.85,33.37,33.4,33.3,0.73,13.31,1.58
11,12,000028,国药一致,31.26,4.55,1.36,32482,99788654.58,4.58,31.28,29.91,29.91,29.9,0.68,12.25,0.96
12,13,603368,柳药集团,19.67,4.46,0.84,70992,138474611.0,4.67,19.79,18.91,18.91,18.83,1.79,8.22,1.03
13,14,301015,百洋医药,30.22,3.49,1.02,11099,33012716.0,3.56,30.3,29.26,29.4,29.2,0.21,18.59,7.19
14,15,605266,健之佳,27.15,3.35,0.88,19294,51493322.0,3.69,27.25,26.28,26.62,26.27,1.37,31.64,1.53
15,16,900943,开开Ｂ股,0.561,3.31,0.018,2047,113366.0,3.87,0.564,0.543,0.543,0.543,0.26,20.7,1.54
16,17,603883,老百姓,20.21,3.16,0.62,146658,292909461.0,3.32,20.26,19.61,19.67,19.59,1.94,18.29,2.21
17,18,603939,益丰药房,26.37,2.77,0.71,29937,78071393.0,2.77,26.37,25.66,25.7,25.66,0.25,21.59,3.19
18,19,600833,第一医药,14.94,2.61,0.38,33579,48933198.0,4.6,14.95,14.28,14.41,14.56,1.51,16.97,2.98
19,20,002872,ST天圣,4.82,2.55,0.12,10295,4918403.79,2.34,4.82,4.71,4.73,4.7,0.48,-31.62,0.75
20,21,603233,大参林,17.06,2.46,0.41,37704,63681499.0,2.46,17.06,16.65,16.65,16.65,0.33,16.98,2.91
21,22,000705,浙江震元,8.62,2.25,0.19,42490,36295416.88,2.02,8.62,8.45,8.45,8.43,1.51,49.58,1.46
22,23,000411,英特集团,11.22,2.19,0.24,16869,18736687.6,2.09,11.23,11.0,11.03,10.98,0.53,12.38,1.34
23,24,002462,嘉事堂,13.58,2.18,0.29,19295,26023592.0,2.56,13.64,13.3,13.33,13.29,0.66,12.86,0.9
24,25,600056,中国医药,12.18,2.18,0.26,127491,154385267.0,3.44,12.25,11.84,11.89,11.92,0.85,30.56,1.56
25,26,002727,一心堂,15.1,2.1,0.31,49398,73970854.0,2.23,15.11,14.78,14.79,14.79,1.21,23.08,1.17
26,27,000950,重药控股,5.82,1.93,0.11,94357,54540353.36,2.28,5.84,5.71,5.71,5.71,0.55,25.81,0.88
27,28,600713,南京医药,5.29,1.73,0.09,69755,36678600.0,1.35,5.3,5.23,5.24,5.2,0.67,11.76,1.03
28,29,002788,鹭燕医药,9.1,1.45,0.13,18430,16609865.48,2.23,9.1,8.9,8.94,8.97,0.48,10.3,1.15
29,30,301263,泰恩康,15.04,1.28,0.19,14181,21138462.0,2.15,15.05,14.73,14.84,14.85,0.54,41.26,3.61
30,31,000078,海王生物,3.11,0.0,0.0,71070,22075799.5,1.61,3.13,3.08,3.11,3.11,0.27,132.79,2.7
