,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,688262,国芯科技,33.47,20.01,5.58,,,0.0,,,,27.89,0.0,-66.25,5.0
1,2,688691,灿芯股份,75.0,15.42,10.02,,,0.0,,,,64.98,0.0,82.35,6.54
2,3,688362,甬矽电子,28.0,11.55,2.9,,,0.0,,,,25.1,0.0,202.27,4.61
3,4,002077,大港股份,17.9,10.02,1.63,,,0.0,,,,16.27,0.0,196.31,3.14
4,5,000670,盈方微,8.17,9.96,0.74,,,0.0,,,,7.43,0.0,-142.5,372.83
5,6,688584,上海合晶,22.95,9.65,2.02,,,0.0,,,,20.93,0.0,145.22,3.74
6,7,688249,晶合集成,23.13,8.95,1.9,,,0.0,,,,21.23,0.0,124.77,2.22
7,8,603068,博通集成,31.2,7.62,2.21,,,0.0,,,,28.99,0.0,-103.36,2.81
8,9,688720,艾森股份,56.04,7.11,3.72,,,0.0,,,,52.32,0.0,155.44,4.87
9,10,688535,华海诚科,89.99,6.23,5.28,,,0.0,,,,84.71,0.0,155.98,7.05
10,11,688072,拓荆科技,199.97,5.93,11.19,,,0.0,,,,188.78,0.0,153.87,11.69
11,12,688521,芯原股份,47.8,5.73,2.59,,,0.0,,,,45.21,0.0,-45.27,10.35
12,13,301348,蓝箭电子,31.5,5.39,1.61,,,0.0,,,,29.89,0.0,50154.13,4.17
13,14,688167,炬光科技,85.0,5.13,4.15,,,0.0,,,,80.85,0.0,-111.24,3.35
14,15,430139,华岭股份,40.61,4.96,1.92,,,0.0,,,,38.69,0.0,-540.59,9.95
15,16,688653,康希通信,17.55,4.9,0.82,,,0.0,,,,16.73,0.0,-164.99,4.69
16,17,688595,芯海科技,39.0,4.87,1.81,,,0.0,,,,37.19,0.0,-36.23,7.64
17,18,688347,华虹公司,49.2,4.77,2.24,,,0.0,,,,46.96,0.0,109.7,1.94
18,19,688530,欧莱新材,23.11,4.76,1.05,,,0.0,,,,22.06,0.0,280.92,4.38
19,20,002156,通富微电,34.99,4.39,1.47,,,0.0,,,,33.52,0.0,72.08,3.67
20,21,688981,中芯国际,104.58,4.27,4.28,,,0.0,,,,100.3,0.0,231.13,5.77
21,22,688372,伟测科技,72.36,4.12,2.86,,,0.0,,,,69.5,0.0,99.61,3.24
22,23,688361,中科飞测,100.19,4.09,3.94,,,0.0,,,,96.25,0.0,-463.44,13.51
23,24,603005,晶方科技,29.58,4.01,1.14,,,0.0,,,,28.44,0.0,78.44,4.57
24,25,001270,铖昌科技,54.0,4.01,2.08,,,0.0,,,,51.92,0.0,-266.22,8.22
25,26,688721,龙图光罩,67.0,3.72,2.4,,,0.0,,,,64.6,0.0,93.73,7.57
26,27,688469,芯联集成-U,5.83,3.55,0.2,,,0.0,,,,5.63,0.0,-45.08,3.44
27,28,300053,航宇微,18.43,3.37,0.6,,,0.0,,,,17.83,0.0,-157.04,6.4
28,29,688135,利扬芯片,20.49,3.28,0.65,,,0.0,,,,19.84,0.0,-252.34,3.74
29,30,688798,艾为电子,77.39,3.12,2.34,,,0.0,,,,75.05,0.0,75.91,4.66
