,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,688549,中巨芯-U,11.99,7.25,0.81,,,0.0,,,,11.18,0.0,446.76,5.81
1,2,300576,容大感光,62.34,4.6,2.74,,,0.0,,,,59.6,0.0,131.37,13.74
2,3,300655,晶瑞电材,11.58,3.86,0.43,,,0.0,,,,11.15,0.0,13837.2,4.75
3,4,300429,强力新材,18.32,3.56,0.63,,,0.0,,,,17.69,0.0,-279.66,5.45
4,5,688548,XD广钢气,10.56,3.23,0.33,,,0.0,,,,10.23,0.0,57.64,2.42
5,6,002409,雅克科技,69.39,3.04,2.05,,,0.0,,,,67.34,0.0,33.08,4.55
6,7,300346,南大光电,46.35,2.84,1.28,,,0.0,,,,45.07,0.0,71.09,7.71
7,8,300054,鼎龙股份,29.68,2.34,0.68,,,0.0,,,,29.0,0.0,55.5,6.42
8,9,688359,三孚新科,49.0,2.3,1.1,,,0.0,,,,47.9,0.0,-201.58,9.51
9,10,300637,扬帆新材,12.5,2.21,0.27,,,0.0,,,,12.23,0.0,-81.22,4.32
10,11,300537,广信材料,21.2,2.12,0.44,,,0.0,,,,20.76,0.0,88.52,5.19
11,12,300398,飞凯材料,16.67,1.96,0.32,,,0.0,,,,16.35,0.0,32.12,2.3
12,13,603078,江化微,16.78,1.82,0.3,,,0.0,,,,16.48,0.0,56.27,3.9
13,14,603931,格林达,27.02,1.81,0.48,,,0.0,,,,26.54,0.0,36.45,3.51
14,15,300236,上海新阳,42.18,1.61,0.67,,,0.0,,,,41.51,0.0,76.4,2.97
15,16,688146,中船特气,35.07,1.12,0.39,,,0.0,,,,34.68,0.0,59.49,3.41
16,17,002741,光华科技,13.49,0.9,0.12,,,0.0,,,,13.37,0.0,596.33,3.98
17,18,688603,天承科技,129.06,0.62,0.79,,,0.0,,,,128.27,0.0,98.44,6.82
18,19,688268,华特气体,58.4,0.55,0.32,,,0.0,,,,58.08,0.0,39.74,4.04
19,20,688106,金宏气体,19.77,0.41,0.08,,,0.0,,,,19.69,0.0,33.96,3.24
20,21,002643,万润股份,11.1,0.27,0.03,,,0.0,,,,11.07,0.0,26.16,1.47
21,22,688550,瑞联新材,33.1,0.0,0.0,,,0.0,,,,33.1,0.0,23.41,1.96
22,23,688019,安集科技,162.65,0.0,0.0,,,0.0,,,,162.65,0.0,40.15,8.27
23,24,603002,宏昌电子,5.55,0.0,0.0,,,0.0,,,,5.55,0.0,128.57,1.84
24,25,002584,西陇科学,8.03,-0.12,-0.01,,,0.0,,,,8.04,0.0,54.91,2.02
25,26,300481,濮阳惠成,16.06,-0.31,-0.05,,,0.0,,,,16.11,0.0,23.75,1.95
