,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300390,天华新能,30.0,11.15,3.01,312164,909101570.95,13.71,31.0,27.3,27.69,26.99,4.64,20.24,2.09
1,2,002667,威领股份,11.8,9.97,1.07,120556,141766115.0,3.63,11.8,11.41,11.8,10.73,5.11,-19.01,5.08
2,3,002738,中矿资源,41.39,8.1,3.1,277551,1136032989.91,7.83,42.0,39.0,39.0,38.29,3.9,41.04,2.51
3,4,002460,赣锋锂业,42.66,7.73,3.06,518605,2174438068.08,6.54,42.98,40.39,40.5,39.6,4.29,-100.78,1.96
4,5,002466,天齐锂业,42.64,4.43,1.81,372906,1588015685.58,3.36,43.27,41.9,41.99,40.83,2.53,-9.21,1.61
5,6,002240,盛新锂能,17.54,4.16,0.7,236521,407812589.5,6.06,17.68,16.66,16.84,16.84,2.73,-26.08,1.32
6,7,000762,西藏矿业,26.13,3.77,0.95,128623,334350344.65,3.73,26.33,25.39,25.39,25.18,2.47,67.1,4.56
7,8,301219,腾远钴业,57.4,3.67,2.03,40681,230322201.63,3.77,57.59,55.5,55.98,55.37,2.42,20.55,1.96
8,9,002192,融捷股份,40.45,2.95,1.16,72263,290923297.52,3.13,40.95,39.72,39.98,39.29,2.79,43.1,3.16
9,10,300618,寒锐钴业,44.75,2.01,0.88,56777,252638486.4,4.26,45.37,43.5,43.7,43.87,2.08,62.16,2.6
10,11,603799,华友钴业,37.64,1.84,0.68,154513,577116209.0,1.84,37.69,37.01,37.17,36.96,0.92,15.86,1.87
11,12,002340,格林美,7.64,0.66,0.05,405312,310213709.5,1.58,7.72,7.6,7.7,7.59,0.8,32.53,2.04
12,13,600711,ST盛屯,5.12,0.0,0.0,163526,83080443.0,1.17,5.12,5.06,5.07,5.12,0.53,6.98,1.04
