,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,600482,中国动力,25.92,10.02,2.36,,,0.0,,,,23.56,0.0,58.05,1.5
1,2,300008,天海防务,6.08,2.36,0.14,,,0.0,,,,5.94,0.0,102.8,5.19
2,3,300123,亚光科技,7.78,1.7,0.13,,,0.0,,,,7.65,0.0,-72.61,3.31
3,4,300589,江龙船艇,14.05,1.37,0.19,,,0.0,,,,13.86,0.0,164.31,6.34
4,5,600685,中船防务,26.89,1.28,0.34,,,0.0,,,,26.55,0.0,152.23,2.05
5,6,300600,ST瑞科,7.71,1.05,0.08,,,0.0,,,,7.63,0.0,-71.76,2.46
6,7,300065,海兰信,10.55,0.76,0.08,,,0.0,,,,10.47,0.0,559.35,4.45
7,8,600150,中国船舶,37.58,0.19,0.07,,,0.0,,,,37.51,0.0,55.52,3.39
8,9,601989,中国重工,5.2,0.0,0.0,,,0.0,,,,5.2,0.0,95.26,1.41
9,10,601890,亚星锚链,8.46,0.0,0.0,,,0.0,,,,8.46,0.0,31.51,2.29
