,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,603377,ST东时,2.6,4.84,0.12,,,0.0,,,,2.48,0.0,-12.84,1.1
1,2,000757,浩物股份,4.39,4.03,0.17,,,0.0,,,,4.22,0.0,-73.41,1.51
2,3,600653,申华控股,2.8,2.56,0.07,,,0.0,,,,2.73,0.0,-72.68,7.49
3,4,600335,国机汽车,6.78,0.89,0.06,,,0.0,,,,6.72,0.0,24.8,0.91
4,5,600386,北巴传媒,4.41,0.46,0.02,,,0.0,,,,4.39,0.0,106.56,2.0
5,6,000753,漳州发展,3.64,0.28,0.01,,,0.0,,,,3.63,0.0,54.93,1.33
6,7,300825,阿尔特,11.76,0.26,0.03,,,0.0,,,,11.73,0.0,3537.43,2.41
7,8,301215,中汽股份,6.75,0.15,0.01,,,0.0,,,,6.74,0.0,60.5,3.19
8,9,900927,物贸Ｂ股,,,,,,,,,,0.417,0.0,23.74,1.21
9,10,838030,德众汽车,8.29,0.0,0.0,,,0.0,,,,8.29,0.0,242.7,3.16
10,11,688479,友车科技,,,,,,,,,,19.5,0.0,35.49,1.48
11,12,600822,上海物贸,10.08,-0.98,-0.1,,,0.0,,,,10.18,0.0,81.9,4.16
12,13,601965,中国汽研,19.15,-1.54,-0.3,,,0.0,,,,19.45,0.0,21.51,2.81
