,排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
0,1,昨日连板,BK0816,115425.65,3810.92,3.41,92935498000,0.81,9,4,中科金财,9.99
1,2,昨日连板_含一字,BK1051,613.13,16.77,2.81,153461014000,1.1,16,7,中科金财,9.99
2,3,智谱AI,BK1182,1096.36,29.81,2.79,404041984000,0.89,32,1,中科金财,9.99
3,4,AI语料,BK1172,922.59,24.92,2.78,340208640000,0.49,24,0,慈文传媒,6.72
4,5,Sora概念,BK1159,1414.5,37.51,2.72,334852480000,0.62,39,0,金财互联,9.95
5,6,Kimi概念,BK1169,1032.79,27.37,2.72,451900592000,0.85,24,1,易点天下,8.5
6,7,多模态AI,BK1153,1058.38,25.65,2.48,768070624000,0.49,39,1,中科金财,9.99
7,8,Web3.0,BK1110,1610.5,35.76,2.27,475387184000,0.56,45,2,中科金财,9.99
8,9,虚拟数字人,BK1055,1123.7,23.77,2.16,3195021392000,0.64,71,9,中科金财,9.99
9,10,短剧互动游戏,BK1151,1182.87,24.59,2.12,365251456000,0.55,23,4,蓝色光标,8.67
10,11,昨日涨停_含一字,BK1050,43471.3,885.16,2.08,376444048000,1.22,34,21,中科金财,9.99
11,12,昨日涨停,BK0815,223.94,4.52,2.06,331516800000,1.16,28,18,中科金财,9.99
12,13,快手概念,BK0972,1420.7,28.41,2.04,239656147000,0.71,24,6,蓝色光标,8.67
13,14,ChatGPT概念,BK1126,1830.06,35.83,2.0,2186987552000,0.39,66,7,三六零,8.7
14,15,AIGC概念,BK1111,1734.61,33.83,1.99,1846412304000,0.4,85,9,中科金财,9.99
15,16,VPN,BK0885,1135.29,21.95,1.97,320415504000,0.44,17,3,南兴股份,10.01
16,17,财税数字化,BK1176,1651.03,30.39,1.88,531958192000,0.6,37,2,中科金财,9.99
17,18,数字阅读,BK0959,1535.29,27.89,1.85,201601509000,0.1,16,1,汉王科技,4.87
18,19,RCS概念,BK0919,1331.6,24.06,1.84,202298761000,0.69,19,4,天利科技,9.8
19,20,字节概念,BK0923,1257.89,22.46,1.82,691296192000,0.51,59,9,海宁皮城,9.9
20,21,在线教育,BK0662,2104.16,35.4,1.71,1556047152000,0.48,106,8,立方数科,19.92
21,22,东数西算,BK1064,1362.66,21.47,1.6,897980256000,0.38,47,8,南兴股份,10.01
22,23,知识产权,BK0839,1832.92,28.31,1.57,377379296000,0.28,35,3,拓尔思,5.61
23,24,数据确权,BK1118,1493.49,22.82,1.55,292089312000,0.4,30,4,天娱数科,6.17
24,25,远程办公,BK0912,1397.06,20.84,1.51,754757792000,0.5,32,4,三六零,8.7
25,26,数据安全,BK1047,936.45,13.75,1.49,896586720000,0.39,63,12,立方数科,19.92
26,27,智慧政务,BK0886,1315.27,19.11,1.47,666158656000,0.68,69,5,中科金财,9.99
