,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,002530,金财互联,9.39,9.95,0.85,481195,445100965.28,5.04,9.39,8.96,9.27,8.54,6.92,1715.1,5.68
1,2,301171,易点天下,30.5,8.89,2.49,122749,371619897.24,4.11,30.81,29.66,29.99,28.01,3.98,55.36,4.1
2,3,002649,博彦科技,13.5,6.13,0.78,58792,78463699.0,5.42,13.6,12.91,12.91,12.72,1.07,33.22,1.89
3,4,300229,拓尔思,18.97,6.39,1.14,56404,104209175.39,6.79,18.99,17.78,17.78,17.83,0.71,279.72,3.89
4,5,002354,天娱数科,4.3,6.17,0.25,405235,171554285.34,7.65,4.37,4.06,4.06,4.05,2.5,-621.79,5.1
5,6,002362,汉王科技,21.7,4.68,0.97,20629,45018400.0,7.48,22.5,20.95,20.95,20.73,0.99,-53.04,4.49
6,7,300781,因赛集团,75.6,3.92,2.85,6722,50378511.8,4.3,75.88,72.75,72.75,72.75,0.83,171.92,11.65
7,8,688039,当虹科技,31.8,3.65,1.12,3786,11829600.0,4.37,31.84,30.5,30.5,30.68,0.34,-38.43,3.04
8,9,603598,引力传媒,16.17,3.59,0.56,11796,18882262.0,5.96,16.38,15.45,15.58,15.61,0.44,166.91,19.91
9,10,300133,华策影视,8.47,3.55,0.29,80651,67844136.0,3.42,8.5,8.22,8.22,8.18,0.5,72.65,2.26
10,11,301052,果麦文化,30.17,3.32,0.97,6662,19880928.9,4.45,30.3,29.0,29.0,29.2,0.83,105.44,4.29
11,12,300612,宣亚国际,17.76,3.2,0.55,10136,17901735.0,3.2,17.85,17.3,17.3,17.21,0.56,-106.92,6.32
12,13,300182,捷成股份,5.95,2.94,0.17,82651,48743789.0,2.42,5.96,5.82,5.82,5.78,0.37,32.84,1.91
13,14,300364,中文在线,29.73,2.87,0.83,39473,116173240.68,2.6,29.78,29.03,29.12,28.9,0.6,-86.52,20.85
14,15,300192,科德教育,16.0,2.56,0.4,19651,31208196.0,2.82,16.09,15.65,15.65,15.6,0.94,37.18,6.18
15,16,603466,风语筑,9.21,2.56,0.23,22936,21053940.0,2.56,9.28,9.05,9.05,8.98,0.39,-35.08,2.5
16,17,300624,万兴科技,69.09,2.26,1.53,23441,163003218.51,3.72,70.92,68.41,69.92,67.56,1.37,-1822.38,10.48
17,18,603888,新华网,25.42,2.25,0.56,7387,18622345.0,2.25,25.43,24.87,24.87,24.86,0.14,63.5,3.8
18,19,000681,视觉中国,14.76,2.22,0.32,12304,18044221.0,2.35,14.79,14.45,14.45,14.44,0.18,94.93,2.95
19,20,300063,天龙集团,10.62,2.21,0.23,52207,55158018.0,2.5,10.66,10.4,10.5,10.39,0.83,124.77,5.0
20,21,688207,格灵深瞳,16.9,2.42,0.4,5360,8930197.0,3.52,16.9,16.32,16.32,16.5,0.3,-23.85,2.05
21,22,300071,福石控股,4.02,2.03,0.08,15492,6165271.0,3.55,4.04,3.9,3.9,3.94,0.17,-97.22,15.15
22,23,000917,电广传媒,8.58,1.9,0.16,66952,57040266.0,2.97,8.6,8.35,8.35,8.42,0.47,149.57,1.18
23,24,600640,国脉文化,13.4,1.9,0.25,4946,6571640.0,3.12,13.45,13.04,13.11,13.15,0.06,602.25,2.69
24,25,300860,锋尚文化,25.67,1.54,0.39,1220,3127207.0,2.06,25.86,25.34,25.34,25.28,0.11,166.8,1.54
25,26,603189,网达软件,16.85,1.51,0.25,6730,11237917.0,3.01,16.9,16.4,16.4,16.6,0.25,317.39,3.03
26,27,300079,数码视讯,6.08,1.67,0.1,29347,17663448.79,3.01,6.1,5.92,5.92,5.98,0.23,291.72,2.06
27,28,688088,虹软科技,36.84,1.46,0.53,3033,11113911.0,2.73,36.99,36.0,36.0,36.31,0.08,125.54,5.68
28,29,300578,会畅通讯,23.53,1.42,0.33,3569,8380483.0,1.85,23.64,23.21,23.3,23.2,0.18,152.15,3.97
29,30,001229,魅视科技,27.17,1.38,0.37,857,2315193.0,1.34,27.17,26.81,26.81,26.8,0.29,39.09,2.82
30,31,300067,安诺其,5.99,1.18,0.07,18533,11019382.81,2.2,6.0,5.87,5.88,5.92,0.2,422.52,2.7
31,32,688400,凌云光,24.85,1.18,0.29,10226,25009525.0,3.66,24.95,24.05,24.22,24.56,0.43,77.14,2.9
32,33,002195,岩山科技,3.26,0.93,0.03,112430,36366342.89,2.17,3.27,3.2,3.22,3.23,0.2,328.03,1.89
33,34,300188,国投智能,16.29,0.87,0.14,8913,14476576.0,1.49,16.3,16.06,16.3,16.15,0.11,-43.42,3.79
34,35,300479,神思电子,20.32,0.84,0.17,3236,6519348.0,1.74,20.33,19.98,20.02,20.15,0.16,-26.66,9.42
35,36,600728,佳都科技,4.91,0.82,0.04,10307,5024720.0,1.64,4.92,4.84,4.84,4.87,0.05,-40.88,1.41
36,37,688004,博汇科技,20.83,0.73,0.15,541,1122752.0,2.85,20.92,20.33,20.66,20.68,0.07,-35.9,2.62
37,38,002575,群兴玩具,6.29,0.48,0.03,4154,2606720.0,2.08,6.32,6.19,6.19,6.26,0.07,-293.95,4.9
38,39,300020,*ST银江,2.78,0.36,0.01,24088,6624313.0,2.17,2.78,2.72,2.75,2.77,0.31,-9.91,0.55
