,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,002469,三维化学,7.99,10.06,0.73,323613.0,247086402.77,7.99,7.99,7.41,7.41,7.26,5.15,26.64,1.99
1,2,000833,粤桂股份,11.53,10.02,1.05,400974.0,451353017.85,4.01,11.53,11.11,11.14,10.48,8.84,30.86,2.64
2,3,002657,中科金财,25.54,9.99,2.32,96973.0,247668531.2,0.0,25.54,25.54,25.54,23.22,2.88,-83.15,4.8
3,4,603366,日出东方,9.49,8.09,0.71,385477.0,363705711.0,8.66,9.66,8.9,9.1,8.78,4.78,86.06,1.93
4,5,600654,中安科,4.54,6.07,0.26,935103.0,412297892.0,11.45,4.65,4.16,4.3,4.28,4.07,915.9,7.99
5,6,603955,大千生态,21.89,6.0,1.24,128688.0,278322357.0,10.02,22.72,20.65,21.56,20.65,9.48,145.45,1.92
6,7,002016,世荣兆业,9.16,5.41,0.47,76595.0,69042657.12,6.21,9.23,8.69,9.17,8.69,0.95,232.3,1.55
7,8,600234,*ST科新,5.09,4.95,0.24,4299.0,2188191.0,0.0,5.09,5.09,5.09,4.85,0.16,87.33,3.03
8,9,603828,ST柯利达,3.58,4.68,0.16,59825.0,21397884.0,4.97,3.59,3.42,3.59,3.42,1.0,94.47,2.84
9,10,603007,*ST花王,17.38,4.07,0.68,20607.0,35331911.0,2.34,17.39,17.0,17.0,16.7,0.51,-60.21,19.84
10,11,600826,兰生股份,9.56,3.8,0.35,91674.0,84544645.0,6.41,9.57,8.98,9.21,9.21,1.25,26.06,1.81
11,12,600629,华建集团,10.73,3.47,0.36,207883.0,216283321.0,9.35,10.87,9.9,10.0,10.37,2.2,31.07,2.04
12,13,600759,洲际油气,3.19,2.24,0.07,580130.0,185751269.0,4.17,3.27,3.14,3.2,3.12,1.4,63.8,1.6
13,14,002605,姚记科技,34.9,1.93,0.66,81844.0,282451537.95,8.79,36.12,33.11,33.22,34.24,2.46,25.55,4.36
14,15,000908,*ST景峰,5.93,1.37,0.08,148102.0,86384990.59,6.67,6.0,5.61,5.85,5.85,1.88,-36.8,-33.5
15,16,002569,ST步森,10.7,0.38,0.04,15331.0,17053521.0,8.07,11.19,10.33,11.19,10.66,1.1,-89.46,19.51
16,17,600804,*ST鹏博,,,,,,,,,,2.23,0.0,-6.96,6.56
17,18,002336,*ST人乐,5.12,-0.19,-0.01,20324.0,10380126.43,2.14,5.18,5.07,5.07,5.13,0.46,-3.48,-2.58
18,19,870436,大地电气,29.5,-0.64,-0.19,15490.0,45704573.65,6.67,29.99,28.01,29.99,29.69,3.47,-94.08,6.55
19,20,002742,ST三圣,4.95,-1.98,-0.1,85502.0,42819132.0,5.35,5.09,4.82,5.05,5.05,1.98,-40.09,11.03
20,21,000609,*ST中迪,2.8,-2.78,-0.08,42493.0,12038390.86,3.13,2.86,2.77,2.85,2.88,1.46,-5.9,2.95
21,22,000989,ST九芝,8.4,-4.44,-0.39,141688.0,123155750.89,5.12,8.83,8.38,8.8,8.79,2.04,22.44,1.9
22,23,002402,和而泰,17.84,-5.06,-0.95,364150.0,634316229.47,3.51,17.87,17.21,17.21,18.79,4.54,34.83,3.54
23,24,000622,*ST恒立,2.59,-5.13,-0.14,82066.0,21923000.13,5.13,2.73,2.59,2.73,2.73,1.93,-50.94,6.61
