,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300890,翔丰华,41.54,19.99,6.92,,,0.0,,,,34.62,0.0,60.46,2.55
1,2,002243,力合科创,9.2,8.88,0.75,,,0.0,,,,8.45,0.0,61.67,1.55
2,3,002886,沃特股份,16.28,3.5,0.55,,,0.0,,,,15.73,0.0,128.19,2.43
3,4,300283,温州宏丰,6.48,2.69,0.17,,,0.0,,,,6.31,0.0,-169.5,3.48
4,5,301349,信德新材,35.35,2.23,0.77,,,0.0,,,,34.58,0.0,-184.71,1.33
5,6,603617,君禾股份,6.03,0.84,0.05,,,0.0,,,,5.98,0.0,28.59,1.6
6,7,600516,方大炭素,5.24,0.58,0.03,,,0.0,,,,5.21,0.0,61.66,1.24
7,8,601011,宝泰隆,2.41,0.42,0.01,,,0.0,,,,2.4,0.0,-12.68,0.78
8,9,002768,国恩股份,22.05,0.23,0.05,,,0.0,,,,22.0,0.0,9.79,1.25
9,10,002631,德尔未来,4.5,0.22,0.01,,,0.0,,,,4.49,0.0,1945.52,1.55
10,11,300831,派瑞股份,15.64,0.13,0.02,,,0.0,,,,15.62,0.0,71.44,5.48
11,12,003009,中天火箭,44.64,0.02,0.01,,,0.0,,,,44.63,0.0,302.73,4.42
12,13,603969,银龙股份,5.55,0.0,0.0,,,0.0,,,,5.55,0.0,21.09,2.01
13,14,300035,中科电气,15.42,0.0,0.0,,,0.0,,,,15.42,0.0,43.18,2.32
14,15,600522,中天科技,16.26,-0.06,-0.01,,,0.0,,,,16.27,0.0,18.01,1.59
15,16,002171,楚江新材,7.78,-0.13,-0.01,,,0.0,,,,7.79,0.0,476.34,1.65
16,17,002617,露笑科技,6.94,-0.14,-0.01,,,0.0,,,,6.95,0.0,42.76,2.2
17,18,002023,海特高新,11.0,-0.63,-0.07,,,0.0,,,,11.07,0.0,98.75,1.91
18,19,688598,金博股份,30.58,-1.99,-0.62,,,0.0,,,,31.2,0.0,-32.09,1.07
