,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300537,广信材料,21.76,20.02,3.63,118333,253755915.24,12.08,21.76,19.57,19.57,18.13,8.22,90.86,5.33
1,2,002079,苏州固锝,11.45,9.99,1.04,279004,318695835.15,2.88,11.45,11.15,11.45,10.41,3.45,172.06,3.11
2,3,688700,东威科技,32.26,5.6,1.71,21726,69854210.0,4.39,32.65,31.31,31.35,30.55,0.73,105.55,5.56
3,4,600732,爱旭股份,15.37,5.56,0.81,216337,327284491.0,6.66,15.53,14.56,14.56,14.56,1.35,-7.44,4.6
4,5,001255,博菲电气,36.35,3.92,1.37,27553,99606606.02,15.04,38.48,33.22,34.98,34.98,13.78,175.84,4.01
5,6,301266,宇邦新材,46.0,3.81,1.69,14210,64915252.9,4.6,46.36,44.32,44.33,44.31,3.79,77.29,2.73
6,7,002865,钧达股份,62.8,3.8,2.3,37079,231638248.64,6.12,63.8,60.1,60.5,60.5,1.65,-25.89,3.57
7,8,688147,微导纳米,29.33,3.64,1.03,11830,34310192.0,3.75,29.35,28.29,28.29,28.3,1.23,66.78,5.24
8,9,688025,杰普特,53.3,3.37,1.74,5310,28091625.0,3.28,53.44,51.75,52.24,51.56,0.56,36.79,2.53
9,10,688170,德龙激光,24.95,3.06,0.74,4534,11198594.0,2.4,24.95,24.37,24.37,24.21,0.57,-90.61,2.07
10,11,839167,同享科技,26.81,2.72,0.71,9396,25134160.53,4.33,27.31,26.18,26.33,26.1,1.44,31.87,4.6
11,12,300776,帝尔激光,76.01,2.72,2.01,7310,55333370.0,2.7,76.44,74.44,74.44,74.0,0.44,40.6,6.54
12,13,688429,时创能源,27.18,2.37,0.63,3233,8801054.0,4.82,27.78,26.5,26.5,26.55,0.4,-15.88,6.03
13,14,301021,英诺激光,31.98,2.07,0.65,54724,175255262.85,6.64,32.88,30.8,31.31,31.33,3.61,4219.23,4.99
14,15,688223,晶科能源,8.47,1.93,0.16,67154,56711625.0,2.05,8.5,8.33,8.34,8.31,0.22,52.31,2.63
15,16,688559,海目星,40.48,1.84,0.73,15993,64443320.0,1.81,40.61,39.89,39.98,39.75,0.77,44.72,2.8
16,17,002056,横店东磁,13.79,1.77,0.24,23434,32189902.0,1.48,13.8,13.6,13.61,13.55,0.14,18.16,2.44
17,18,300757,罗博特科,193.07,1.46,2.77,15430,298108557.6,3.52,195.18,188.49,191.99,190.3,1.06,315.4,29.31
18,19,601012,隆基绿能,18.45,1.32,0.24,136750,251649367.0,1.32,18.53,18.29,18.34,18.21,0.18,-16.12,2.25
19,20,002795,永和智控,4.42,0.68,0.03,24478,10746596.2,2.51,4.44,4.33,4.4,4.39,0.56,-19.39,2.65
20,21,002306,中科云网,3.31,-0.3,-0.01,46639,15362102.0,2.71,3.35,3.26,3.32,3.32,0.57,-55.96,911.32
21,22,603051,鹿山新材,28.91,-4.87,-1.48,28038,80376067.0,3.52,29.4,28.33,28.33,30.39,4.62,72.7,1.96
