,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,002079,苏州固锝,11.45,9.99,1.04,279004.0,318695835.15,2.88,11.45,11.15,11.45,10.41,3.45,172.06,3.11
1,2,603005,晶方科技,28.95,5.27,1.45,251608.0,713714275.0,6.0,29.15,27.5,27.5,27.5,3.86,76.76,4.47
2,3,002845,同兴达,16.21,5.06,0.78,48992.0,78520091.8,4.73,16.38,15.65,15.65,15.43,1.96,54.96,1.93
3,4,603011,合锻智能,7.92,5.04,0.38,93878.0,72072629.0,7.16,7.92,7.38,7.38,7.54,1.9,382.44,1.75
4,5,688603,天承科技,117.21,4.16,4.68,2675.0,31303199.0,5.0,118.63,113.0,113.32,112.53,1.27,89.4,6.19
5,6,002579,中京电子,8.23,4.05,0.32,60522.0,49525289.92,4.68,8.35,7.98,8.0,7.91,1.04,-40.37,2.1
6,7,301348,蓝箭电子,28.43,3.83,1.05,15545.0,43680211.0,3.58,28.48,27.5,27.67,27.38,1.17,45266.09,3.76
7,8,688720,艾森股份,47.85,3.44,1.59,5416.0,25932637.0,4.73,48.74,46.55,46.55,46.26,3.06,132.73,4.16
8,9,300493,润欣科技,14.76,3.29,0.47,109047.0,159179102.75,4.13,14.84,14.25,14.44,14.29,2.18,152.8,7.05
9,10,600520,文一科技,35.49,3.29,1.13,52618.0,182437905.0,4.95,35.5,33.8,33.94,34.36,3.32,236.03,15.01
10,11,002156,通富微电,30.66,3.23,0.96,353040.0,1064871673.39,4.01,30.7,29.51,29.7,29.7,2.33,63.16,3.22
11,12,688689,银河微电,23.58,3.1,0.71,3428.0,8017472.0,2.58,23.6,23.01,23.01,22.87,0.27,50.73,2.6
12,13,300410,正业科技,6.41,2.89,0.18,23745.0,15007218.42,3.37,6.42,6.21,6.22,6.23,0.65,-15.47,7.24
13,14,002185,华天科技,12.26,2.85,0.34,206026.0,249573669.3,3.02,12.28,11.92,11.92,11.92,0.64,82.53,2.39
14,15,300814,中富电路,31.16,2.84,0.86,8041.0,25050540.0,2.51,31.45,30.69,30.7,30.3,0.46,131.81,4.8
15,16,300400,劲拓股份,17.5,2.82,0.48,15506.0,26969270.0,3.17,17.6,17.06,17.3,17.02,0.65,52.78,5.47
16,17,688362,甬矽电子,27.32,2.75,0.73,25991.0,70588765.0,3.05,27.51,26.7,26.96,26.59,0.93,197.36,4.5
17,18,688521,芯原股份,48.93,2.69,1.28,25071.0,121920312.0,2.1,49.1,48.1,48.17,47.65,0.5,-46.34,10.59
18,19,688216,气派科技,22.48,2.37,0.52,2436.0,5465080.0,3.42,22.7,21.95,21.96,21.96,0.23,-29.65,3.48
19,20,300903,科翔股份,8.7,2.35,0.2,27066.0,23470029.0,2.71,8.75,8.52,8.52,8.5,0.82,-15.47,1.78
20,21,600584,长电科技,41.68,2.26,0.92,100420.0,413304694.0,2.48,41.69,40.68,40.7,40.76,0.56,51.97,2.78
21,22,300456,赛微电子,18.69,2.24,0.41,39642.0,73735740.0,2.52,18.8,18.34,18.36,18.28,0.67,-87.15,2.72
22,23,688135,利扬芯片,18.22,2.07,0.37,2869.0,5202054.0,1.51,18.25,17.98,18.07,17.85,0.14,-224.39,3.33
23,24,688396,华润微,52.31,2.07,1.06,12271.0,63997198.0,2.07,52.58,51.52,51.9,51.25,0.09,103.99,3.13
24,25,301325,曼恩斯特,50.08,1.77,0.87,14920.0,74234801.6,3.88,50.5,48.59,49.0,49.21,2.58,84.24,2.46
25,26,688535,华海诚科,,,,,,,,,,92.81,0.0,160.87,7.27
26,27,688256,寒武纪-U,448.42,-0.05,-0.24,13260.0,600340339.0,2.99,459.42,446.0,450.0,448.66,0.32,-193.79,36.43
