,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,301183,东田微,56.01,10.87,5.49,47943,270364083.0,13.02,59.52,52.94,53.0,50.52,10.4,83.65,5.34
1,2,688173,希荻微,15.66,10.59,1.5,192736,305719596.0,12.36,16.79,15.04,16.79,14.16,8.08,-24.66,4.06
2,3,002815,崇达技术,10.24,9.99,0.93,133244,134275648.6,8.92,10.24,9.41,9.43,9.31,2.08,31.66,1.58
3,4,301285,鸿日达,25.07,6.18,1.46,19003,47115160.0,7.03,25.46,23.8,23.8,23.61,2.41,131.43,4.88
4,5,300679,电连技术,50.3,5.76,2.74,41905,208121259.61,6.06,50.38,47.5,47.85,47.56,1.17,34.86,4.48
5,6,003021,兆威机电,61.2,5.61,3.25,38647,229237775.88,7.7,61.39,56.93,56.96,57.95,1.87,69.27,4.66
6,7,688512,慧智微-U,11.31,5.21,0.56,68984,80301902.0,10.51,12.05,10.92,10.92,10.75,2.57,-13.1,2.69
7,8,688097,博众精工,24.83,5.12,1.21,28115,69437308.0,5.33,25.06,23.8,24.21,23.62,0.63,32.77,2.57
8,9,002845,同兴达,16.21,5.06,0.78,48992,78520091.8,4.73,16.38,15.65,15.65,15.43,1.96,54.96,1.93
9,10,301626,苏州天脉,112.89,4.53,4.89,7601,84921262.0,5.74,113.4,107.2,107.21,108.0,3.46,69.76,8.99
10,11,300909,汇创达,25.7,4.26,1.05,16784,42913632.0,4.62,26.0,24.86,24.86,24.65,1.47,44.12,2.25
11,12,002579,中京电子,8.23,4.05,0.32,60522,49525289.92,4.68,8.35,7.98,8.0,7.91,1.04,-40.37,2.1
12,13,002387,维信诺,15.19,3.97,0.58,1013801,1538162585.09,13.62,16.0,14.01,14.88,14.61,7.3,-8.81,3.42
13,14,002273,水晶光电,21.85,3.8,0.8,148019,321719968.6,4.61,22.13,21.16,21.27,21.05,1.09,26.45,3.44
14,15,603341,龙旗科技,47.11,3.68,1.67,11966,55797748.0,3.72,47.19,45.5,45.5,45.44,2.49,38.14,3.96
15,16,688049,炬芯科技,34.26,3.66,1.21,12472,42421873.0,4.05,34.44,33.1,33.33,33.05,1.15,52.95,2.72
16,17,300088,长信科技,7.16,3.32,0.23,201717,143313793.71,3.75,7.21,6.95,6.97,6.93,0.83,45.0,2.1
17,18,301013,利和兴,13.52,3.28,0.43,21578,29042094.96,3.06,13.6,13.2,13.24,13.09,1.14,154.67,3.71
18,19,688210,统联精密,21.17,3.12,0.64,9187,19210482.0,3.21,21.19,20.53,20.53,20.53,0.86,48.79,2.72
19,20,600203,福日电子,12.15,3.05,0.36,139863,166299339.0,6.62,12.23,11.45,11.81,11.79,2.36,-40.31,3.78
20,21,603327,福蓉科技,13.87,2.97,0.4,37014,50600658.0,4.75,13.95,13.31,13.31,13.47,0.48,56.17,5.11
21,22,300538,同益股份,16.82,2.87,0.47,22141,37077286.0,2.32,16.89,16.51,16.71,16.35,1.93,366.89,2.92
22,23,300735,光弘科技,35.5,2.87,0.99,103963,364190889.04,4.29,35.69,34.21,34.5,34.51,1.37,137.35,5.67
23,24,002189,中光学,21.07,2.78,0.57,14253,29769021.0,3.22,21.17,20.51,20.55,20.5,0.55,-184.97,5.12
24,25,000536,华映科技,5.69,2.71,0.15,872721,487247142.82,8.84,5.77,5.28,5.48,5.54,3.16,-13.91,9.99
25,26,688484,南芯科技,35.12,2.69,0.92,18657,65326211.0,3.22,35.4,34.3,34.3,34.2,0.64,41.23,3.86
26,27,688123,聚辰股份,57.72,2.54,1.43,6714,38473269.0,2.03,57.8,56.66,56.78,56.29,0.43,32.24,4.31
27,28,688088,虹软科技,34.2,2.43,0.81,10553,35715730.0,3.14,34.35,33.3,33.4,33.39,0.26,116.55,5.27
28,29,300602,飞荣达,19.47,2.42,0.46,30677,59396373.0,3.1,19.55,18.96,19.1,19.01,0.78,81.64,2.97
29,30,301128,强瑞技术,55.44,2.36,1.28,3240,17819836.19,2.57,55.56,54.17,54.44,54.16,1.13,38.71,4.8
30,31,688595,芯海科技,35.46,2.25,0.78,8679,30650089.0,2.6,35.6,34.7,35.17,34.68,0.61,-32.94,6.95
31,32,301578,辰奕智能,55.26,2.22,1.2,3823,21021893.4,2.4,55.5,54.2,54.5,54.06,2.45,78.98,3.74
32,33,688260,昀冢科技,18.32,2.06,0.37,7380,13413554.0,3.23,18.39,17.81,17.95,17.95,0.62,-20.68,8.43
33,34,688378,奥来德,26.31,2.06,0.53,12558,32938356.0,3.72,26.72,25.76,26.0,25.78,0.62,40.57,3.11
34,35,000049,德赛电池,25.3,1.93,0.48,11742,29487330.6,1.93,25.33,24.85,24.85,24.82,0.31,33.0,1.52
35,36,600703,三安光电,13.29,1.84,0.24,85702,113307098.0,1.38,13.3,13.12,13.12,13.05,0.17,201.19,1.8
36,37,688608,恒玄科技,246.35,1.82,4.4,3899,96372443.0,3.9,251.44,242.01,242.01,241.95,0.32,76.72,4.61
37,38,603160,汇顶科技,83.3,1.72,1.41,13438,111373059.0,2.01,83.55,81.9,81.9,81.89,0.29,63.89,4.52
38,39,300606,金太阳,22.04,1.61,0.35,7471,16351492.0,2.58,22.07,21.51,21.7,21.69,0.63,113.55,4.42
39,40,688772,珠海冠宇,17.1,1.6,0.27,18732,31933123.0,1.9,17.2,16.88,16.91,16.83,0.17,53.95,2.92
40,41,002416,爱施德,15.07,1.55,0.23,132062,195781257.67,4.92,15.19,14.46,14.85,14.84,1.08,26.68,3.12
41,42,300433,蓝思科技,21.38,1.47,0.31,52571,112505720.44,1.57,21.58,21.25,21.29,21.07,0.11,33.7,2.25
42,43,603296,华勤技术,60.84,1.43,0.86,11704,70939008.0,2.45,61.14,59.67,59.68,59.98,0.48,22.62,2.86
43,44,300657,弘信电子,20.73,1.42,0.29,77635,157814933.02,4.99,20.86,19.84,20.11,20.44,1.7,138.82,7.63
44,45,300218,安利股份,15.53,1.37,0.21,7300,11332933.0,2.02,15.63,15.32,15.32,15.32,0.34,16.82,2.43
45,46,300793,佳禾智能,16.52,1.04,0.17,41655,68245196.93,3.91,16.68,16.04,16.51,16.35,1.22,60.06,2.08
46,47,600745,闻泰科技,43.05,0.87,0.37,36640,157292934.0,1.55,43.26,42.6,42.68,42.68,0.29,96.9,1.49
47,48,301316,慧博云通,19.09,0.85,0.16,15906,30073944.0,2.75,19.15,18.63,18.85,18.93,0.66,150.0,7.37
48,49,000829,天音控股,13.35,0.53,0.07,98879,131263452.0,2.94,13.45,13.06,13.1,13.28,0.97,495.51,4.59
49,50,000725,京东方Ａ,4.41,0.0,0.0,842271,372139923.3,0.91,4.44,4.4,4.42,4.41,0.23,37.62,1.28
50,51,002388,ST新亚,4.55,-5.01,-0.24,18688,8503040.0,0.0,4.55,4.55,4.55,4.79,0.37,2789.59,1.93
