,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,688262,国芯科技,29.47,8.83,2.39,70030.0,203580880.0,8.42,29.8,27.52,27.52,27.08,2.65,-58.34,4.4
1,2,603005,晶方科技,28.95,5.27,1.45,251608.0,713714275.0,6.0,29.15,27.5,27.5,27.5,3.86,76.76,4.47
2,3,002559,亚威股份,9.12,3.28,0.29,43816.0,39298803.5,3.74,9.15,8.82,8.83,8.83,0.88,36.91,2.8
3,4,688733,壹石通,18.96,3.04,0.56,5450.0,10209844.0,3.32,19.0,18.39,18.57,18.4,0.27,192.47,1.72
4,5,002436,兴森科技,12.03,2.73,0.32,142906.0,170842324.16,2.31,12.04,11.77,11.77,11.71,0.95,-482.39,4.01
5,6,688300,联瑞新材,52.62,2.37,1.22,3923.0,20501903.0,1.77,52.66,51.75,51.75,51.4,0.21,39.65,6.78
6,7,603002,宏昌电子,5.16,2.18,0.11,54062.0,27732986.0,2.18,5.18,5.07,5.09,5.05,0.49,119.53,1.71
7,8,688167,炬光科技,70.1,2.1,1.44,3843.0,26883646.0,2.48,70.7,69.0,69.56,68.66,0.56,-91.74,2.77
8,9,002409,雅克科技,63.77,1.97,1.23,19013.0,120636730.13,1.55,63.87,62.9,62.9,62.54,0.6,30.4,4.18
9,10,688035,德邦科技,36.65,1.92,0.69,4610.0,16833462.0,2.39,36.88,36.02,36.32,35.96,0.52,64.68,2.3
10,11,300475,香农芯创,30.45,1.84,0.55,24855.0,75289396.0,1.94,30.54,29.96,30.25,29.9,0.56,28.68,4.72
11,12,838971,天马新材,34.6,1.14,0.39,5191.0,17794264.08,2.63,34.8,33.9,34.01,34.21,0.61,109.13,8.38
12,13,688535,华海诚科,,,,,,,,,,92.81,0.0,160.87,7.27
